database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us);
neo4j;2.ResponsivenessNoIndexRead;load;1;1;10000;1;1;1;50;95;5;;0;false;;4449;0,22476961114857272;3054592,0;2;2;2,0;0,000;3;3;3,0;0,000;11;63;37,0;0,026;1060352,0;314112;314367;314240,0;0,000;314112;314367;314240,0;0,000;;;;;;;;;;;;;
neo4j;2.ResponsivenessNoIndexRead;load;2;1;10000;1;1;1;50;95;5;;0;false;;4713;0,21217907914279652;3204096,0;2;2;2,0;0,000;3;3;3,0;0,000;11;62;36,5;0,026;1100288,0;390144;390399;390272,0;0,000;390144;390399;390272,0;0,000;;;;;;;;;;;;;
neo4j;2.ResponsivenessNoIndexRead;load;3;1;10000;1;1;1;50;95;5;;0;false;;5053;0,19790223629527012;3208192,0;1;1;1,0;0,000;3;3;3,0;0,000;11;62;36,5;0,026;1336832,0;489216;489471;489344,0;0,000;489216;489471;489344,0;0,000;;;;;;;;;;;;;
neo4j;2.ResponsivenessNoIndexRead;run;1;1;10000;1;1;1;50;95;5;;0;false;;2824880;3,539973379400187;1588736,0;1;2;1,8485915492957747;0,000;3;11;10,014084507042254;0,001;15;98;66,3169014084507;0,016;2483200,0;55072;1273855;126915,0595227375;40,209;55072;1021439;126493,7358966278;39,235;55520;1273855;127231,07714128122;40,920;86;7195;1220,3700623700624;1,553;;;;;
neo4j;2.ResponsivenessNoIndexRead;run;2;1;10000;1;1;1;50;95;5;;0;false;;2843865;3,516341317186294;1764864,0;1;2;1,8741258741258742;0,000;3;11;10,013986013986013;0,001;15;97;65,63286713286713;0,015;2767872,0;55936;1404927;127745,79234579018;45,312;55936;1404927;127874,7095283118;46,749;57216;1324031;127649,09684028052;44,203;84;9191;1301,806652806653;1,705;;;;;
neo4j;2.ResponsivenessNoIndexRead;run;3;1;10000;1;1;1;50;95;5;;0;false;;2814418;3,5531324771231567;1881600,0;1;2;1,685512367491166;0,000;3;11;10,014134275618375;0,001;16;95;63,109540636042404;0,015;2257920,0;56192;1354751;126437,31724448447;40,547;56288;949759;125922,86584725286;39,295;56192;1354751;126823,1861949413;41,457;81;7575;1246,964656964657;1,585;;;;;
apachejena;2.ResponsivenessNoIndexRead;load;1;1;10000;1;1;1;50;95;5;;0;false;;1988;0,5030181086519114;1639936,0;2;2;2,0;0,000;2;3;2,5;0,001;11;59;35,0;0,024;234176,0;89472;89535;89504,0;0,000;89472;89535;89504,0;0,000;;;;;;;;;;;;;
apachejena;2.ResponsivenessNoIndexRead;load;2;1;10000;1;1;1;50;95;5;;0;false;;2158;0,4633920296570899;1690112,0;1;1;1,0;0,000;2;3;2,5;0,001;11;59;35,0;0,024;289664,0;154368;154495;154432,0;0,000;154368;154495;154432,0;0,000;;;;;;;;;;;;;
apachejena;2.ResponsivenessNoIndexRead;load;3;1;10000;1;1;1;50;95;5;;0;false;;2031;0,49236829148202854;1726976,0;2;2;2,0;0,000;2;3;2,5;0,001;12;59;35,5;0,024;175552,0;105344;105407;105376,0;0,000;105344;105407;105376,0;0,000;;;;;;;;;;;;;
apachejena;2.ResponsivenessNoIndexRead;run;1;1;10000;1;1;1;50;95;5;;0;false;;3375758;2,962297652853078;445312,0;1;2;1,1297935103244838;0,000;2;3;2,9970501474926254;0,000;15;188;75,41297935103245;0,040;94816,0;60064;913919;151459,03286807745;73,684;62496;913919;151082,732219771;73,461;60064;813055;151741,2805925459;73,850;116;557567;20667,970893970894;68,079;;;;;
apachejena;2.ResponsivenessNoIndexRead;run;2;1;10000;1;1;1;50;95;5;;0;false;;3517448;2,8429702443362346;441472,0;1;2;1,206798866855524;0,000;2;3;2,997167138810198;0,000;15;187;74,03966005665723;0,039;93536,0;59904;973823;157839,46762719494;77,531;59904;787455;156848,05714886019;76,977;62464;973823;158583,08407532898;77,935;116;457215;20563,430353430354;67,332;;;;;
apachejena;2.ResponsivenessNoIndexRead;run;3;1;10000;1;1;1;50;95;5;;0;false;;3399606;2,941517340538874;434048,0;1;2;1,219941348973607;0,000;2;3;2,997067448680352;0,000;16;190;79,37243401759531;0,041;176960,0;56928;947711;152546,5963079694;72,390;61920;947711;151582,00315159155;71,990;56928;784383;153270,09817981246;72,680;116;428031;19853,509355509355;64,806;;;;;
orientdb;2.ResponsivenessNoIndexRead;load;1;1;10000;1;1;1;50;95;5;;0;false;;16408;0,060945880058508047;1,6388096E7;2;2;2,0;0,000;3;7;5,333333333333333;0,002;15;35;24,333333333333332;0,008;73,0;3682;3683;3683,0;0,000;3682;3683;3683,0;0,000;;;;;;;;;;;;;
orientdb;2.ResponsivenessNoIndexRead;load;2;1;10000;1;1;1;50;95;5;;0;false;;17182;0,058200442323361655;1,716224E7;2;2;2,0;0,000;3;7;5,333333333333333;0,002;15;34;23,0;0,008;76,0;3582;3583;3583,0;0,000;3582;3583;3583,0;0,000;;;;;;;;;;;;;
orientdb;2.ResponsivenessNoIndexRead;load;3;1;10000;1;1;1;50;95;5;;0;false;;16532;0,06048874909266876;1,6510976E7;2;2;2,0;0,000;3;7;5,333333333333333;0,002;15;35;24,333333333333332;0,008;131,0;3766;3767;3767,0;0,000;3766;3767;3767,0;0,000;;;;;;;;;;;;;
