database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us)
orientdb;1.ComplexProductSingle;load;1;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;11982;0,083458521;1,20E+07;0;0;0;0;3;7;5,333333333;0,002;15;35;25,66666667;0,008;72;3828;3829;3829;0;3828;3829;3829;0;;;;;;;;;;;;
orientdb;1.ComplexProductSingle;load;2;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;11919;0,083899656;1,19E+07;1;2;1,666666667;0;3;7;5,333333333;0,002;15;34;26;0,008;191;4068;4069;4069;0;4068;4069;4069;0;;;;;;;;;;;;
orientdb;1.ComplexProductSingle;load;3;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;20676;0,048365254;2,07E+07;2;2;2;0;3;7;5,75;0,002;15;36;24,5;0,009;74;3702;3703;3703;0;3702;3703;3703;0;;;;;;;;;;;;
orientdb;1.ComplexProductSingle;run;1;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;245236;4309,452935;1341952;1;2;1,615384615;0;3;7;6,807692308;0,001;74;1596;592,5;0,393;91;32;2492415;107,7927267;3,569;32;674815;90,20349478;2,714;34;2492415;125,3798286;4,256;;;;;;;;
orientdb;1.ComplexProductSingle;run;2;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;295108;3581,173672;1431040;1;2;1,709677419;0;3;7;6,838709677;0,001;74;1743;646,3225806;0,46;78;32;2572287;131,0811493;6,036;32;1585151;109,7129726;5,208;34;2572287;152,4467383;6,763;;;;;;;;
orientdb;1.ComplexProductSingle;run;3;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;301708;3502,833866;1407488;1;2;1,75;0;3;7;6,84375;0,001;74;1783;710,1875;0,436;75;35;3008511;134,1284841;5,839;35;3008511;119,7237208;5,568;36;1874943;148,5315031;6,098;;;;;;;;
sparksee;1.ComplexProductSingle;load;1;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;1382;0,723589001;1040128;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;273280;944;944;944;0;944;944;944;0;;;;;;;;;;;;
sparksee;1.ComplexProductSingle;load;2;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;1195;0,836820084;711936;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;418176;977;977;977;0;977;977;977;0;;;;;;;;;;;;
sparksee;1.ComplexProductSingle;load;3;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;851;1,175088132;412800;1;1;1;0;2;3;2,5;0,001;10;14;12;0,002;373632;947;947;947;0;947;947;947;0;;;;;;;;;;;;
sparksee;1.ComplexProductSingle;run;1;1;1056833;64;128;128;50;1;0;;0;FALSE;TRUE;;;;;;;0;;;;0;;;;0,425;;40;4275;63;0,027;40;4275;54;0,025;48;4251;72;0,027;;;;;;;;
