/usr/lib/jvm/java-8-oracle/bin/java -Xmx16G -classpath /home/christian/Documents/BachelorThesis/YCSB/conf:/home/christian/Documents/BachelorThesis/YCSB/core/target/core-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/HdrHistogram-2.1.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/gson-2.8.2.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/neo4j-binding-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-analysis-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-tree-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-util-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcpkix-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcprov-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/caffeine-2.3.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-compress-1.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-lang3-3.5.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-text-1.1.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/concurrentlinkedhashmap-lru-1.4.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-analyzers-common-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-backward-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-core-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-queryparser-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-codegen-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-command-line-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-common-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-configuration-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-consistency-check-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-csv-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-logical-plans-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-dbms-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-algo-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-matching-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graphdb-api-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-import-tool-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-io-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-jmx-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-kernel-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-logging-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-upgrade-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-primitive-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-resource-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-ssl-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-udc-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-unsafe-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-values-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/netty-all-4.1.21.Final.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/opencsv-2.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-core-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-scala_2.11-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-library-2.11.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-reflect-2.11.12.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/1.ProbingNodeSize100B -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/1.ProbingNodeSize100B -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/1.ProbingNodeSize100B/run/2/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/1.ProbingNodeSize100B/run/2/measure
Command line: -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/1.ProbingNodeSize100B -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/1.ProbingNodeSize100B -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/1.ProbingNodeSize100B/run/2/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/1.ProbingNodeSize100B/run/2/measureYCSB Client 0.14.0-SNAPSHOT

Loading workload...
GraphDataGenerator creating RECREATOR.
RandomGraphComponentGenerator creating RECREATOR.
OperationOrderGenerator creating RECREATOR.
Starting test.
2018-04-22 06:35:07:770 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2018-04-22 06:35:17:752 10 sec: 35 operations; 3.5 current ops/sec; est completion in 47 minutes [THREAD_COUNT: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=1, Max=1672191, Min=1671168, Avg=1671680, 90=1672191, 99=1672191, 99.9=1672191, 99.99=1672191] [GCS: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [USED_MEM_MB: Count=1, Max=16, Min=16, Avg=16, 90=16, 99=16, 99.9=16, 99.99=16] [INSERTNode: Count=36, Max=323583, Min=56128, Avg=100662.67, 90=127743, 99=323583, 99.9=323583, 99.99=323583] [INSERT: Count=83, Max=323583, Min=56128, Avg=99288.48, 90=132223, 99=262015, 99.9=323583, 99.99=323583] [GCS_TIME: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [INSERTEdge: Count=47, Max=262015, Min=59968, Avg=98235.91, 90=132223, 99=262015, 99.9=262015, 99.99=262015] [Intended-INITIALISE: Count=1, Max=1672191, Min=1671168, Avg=1671680, 90=1672191, 99=1672191, 99.9=1672191, 99.99=1672191] [Intended-INSERTNode: Count=36, Max=323583, Min=56128, Avg=100664.44, 90=127743, 99=323583, 99.9=323583, 99.99=323583] [Intended-INSERT: Count=83, Max=323583, Min=56128, Avg=99289.25, 90=132223, 99=262015, 99.9=323583, 99.99=323583] [Intended-INSERTEdge: Count=47, Max=262015, Min=59968, Avg=98235.91, 90=132223, 99=262015, 99.9=262015, 99.99=262015] 
2018-04-22 06:35:27:752 20 sec: 82 operations; 4.7 current ops/sec; est completion in 40 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [USED_MEM_MB: Count=1, Max=51, Min=51, Avg=51, 90=51, 99=51, 99.9=51, 99.99=51] [INSERTNode: Count=47, Max=165887, Min=56480, Avg=86968.17, 90=127679, 99=165887, 99.9=165887, 99.99=165887] [INSERT: Count=110, Max=192255, Min=56480, Avg=91165.53, 90=135935, 99=191615, 99.9=192255, 99.99=192255] [GCS_TIME: Count=1, Max=48, Min=48, Avg=48, 90=48, 99=48, 99.9=48, 99.99=48] [INSERTEdge: Count=63, Max=192255, Min=59808, Avg=94296.89, 90=137855, 99=191615, 99.9=192255, 99.99=192255] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=47, Max=165887, Min=56480, Avg=86968.17, 90=127679, 99=165887, 99.9=165887, 99.99=165887] [Intended-INSERT: Count=110, Max=192255, Min=56480, Avg=91166.11, 90=135935, 99=191615, 99.9=192255, 99.99=192255] [Intended-INSERTEdge: Count=63, Max=192255, Min=59808, Avg=94297.9, 90=137855, 99=191615, 99.9=192255, 99.99=192255] 
2018-04-22 06:35:37:752 30 sec: 132 operations; 5 current ops/sec; est completion in 37 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=87, Min=87, Avg=87, 90=87, 99=87, 99.9=87, 99.99=87] [INSERTNode: Count=50, Max=200703, Min=55552, Avg=85768, 90=127999, 99=200703, 99.9=200703, 99.99=200703] [INSERT: Count=117, Max=315391, Min=55552, Avg=85369.44, 90=132223, 99=200703, 99.9=315391, 99.99=315391] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=67, Max=315391, Min=60128, Avg=85072, 90=134527, 99=165375, 99.9=315391, 99.99=315391] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=50, Max=200703, Min=55552, Avg=85768, 90=127999, 99=200703, 99.9=200703, 99.99=200703] [Intended-INSERT: Count=117, Max=315391, Min=55552, Avg=85369.71, 90=132223, 99=200703, 99.9=315391, 99.99=315391] [Intended-INSERTEdge: Count=67, Max=315391, Min=60128, Avg=85072.48, 90=134527, 99=165375, 99.9=315391, 99.99=315391] 
2018-04-22 06:35:47:752 40 sec: 183 operations; 5.1 current ops/sec; est completion in 35 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=30, Min=30, Avg=30, 90=30, 99=30, 99.9=30, 99.99=30] [INSERTNode: Count=51, Max=230911, Min=56128, Avg=83800.16, 90=129023, 99=159359, 99.9=230911, 99.99=230911] [INSERT: Count=117, Max=268031, Min=56128, Avg=84696.62, 90=129023, 99=230911, 99.9=268031, 99.99=268031] [GCS_TIME: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [INSERTEdge: Count=66, Max=268031, Min=59232, Avg=85389.33, 90=125119, 99=144639, 99.9=268031, 99.99=268031] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=51, Max=230911, Min=56128, Avg=83802.67, 90=129023, 99=159359, 99.9=230911, 99.99=230911] [Intended-INSERT: Count=117, Max=268031, Min=56128, Avg=84697.71, 90=129023, 99=230911, 99.9=268031, 99.99=268031] [Intended-INSERTEdge: Count=67, Max=268031, Min=59232, Avg=85348.54, 90=125119, 99=144639, 99.9=268031, 99.99=268031] 
2018-04-22 06:35:57:752 50 sec: 234 operations; 5.1 current ops/sec; est completion in 34 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=57, Min=57, Avg=57, 90=57, 99=57, 99.9=57, 99.99=57] [INSERTNode: Count=50, Max=141567, Min=56320, Avg=78001.6, 90=120063, 99=141567, 99.9=141567, 99.99=141567] [INSERT: Count=119, Max=292351, Min=56320, Avg=83945.55, 90=124543, 99=155391, 99.9=292351, 99.99=292351] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=69, Max=292351, Min=59168, Avg=88252.75, 90=124543, 99=155391, 99.9=292351, 99.99=292351] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=50, Max=141567, Min=56320, Avg=78001.6, 90=120063, 99=141567, 99.9=141567, 99.99=141567] [Intended-INSERT: Count=119, Max=292351, Min=56320, Avg=83945.55, 90=124543, 99=155391, 99.9=292351, 99.99=292351] [Intended-INSERTEdge: Count=68, Max=292351, Min=59168, Avg=88335.06, 90=124543, 99=155391, 99.9=292351, 99.99=292351] 
2018-04-22 06:36:07:752 60 sec: 282 operations; 4.8 current ops/sec; est completion in 34 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=92, Min=92, Avg=92, 90=92, 99=92, 99.9=92, 99.99=92] [INSERTNode: Count=48, Max=229247, Min=56704, Avg=90955.33, 90=129663, 99=229247, 99.9=229247, 99.99=229247] [INSERT: Count=112, Max=235007, Min=56704, Avg=89571.86, 90=129663, 99=229247, 99.9=235007, 99.99=235007] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=64, Max=235007, Min=58400, Avg=88534.25, 90=125823, 99=183679, 99.9=235007, 99.99=235007] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=48, Max=229247, Min=56704, Avg=90955.33, 90=129663, 99=229247, 99.9=229247, 99.99=229247] [Intended-INSERT: Count=112, Max=235007, Min=56704, Avg=89571.86, 90=129663, 99=229247, 99.9=235007, 99.99=235007] [Intended-INSERTEdge: Count=64, Max=235007, Min=58400, Avg=88534.25, 90=125823, 99=183679, 99.9=235007, 99.99=235007] 
2018-04-22 06:36:17:752 70 sec: 332 operations; 5 current ops/sec; est completion in 33 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=118, Min=118, Avg=118, 90=118, 99=118, 99.9=118, 99.99=118] [INSERTNode: Count=51, Max=130175, Min=56224, Avg=81359.37, 90=109503, 99=120703, 99.9=130175, 99.99=130175] [INSERT: Count=117, Max=224767, Min=56224, Avg=85329.37, 90=122303, 99=151295, 99.9=224767, 99.99=224767] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=66, Max=224767, Min=59360, Avg=88397.09, 90=126655, 99=151295, 99.9=224767, 99.99=224767] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=51, Max=130175, Min=56224, Avg=81359.37, 90=109503, 99=120703, 99.9=130175, 99.99=130175] [Intended-INSERT: Count=117, Max=224767, Min=56224, Avg=85329.37, 90=122303, 99=151295, 99.9=224767, 99.99=224767] [Intended-INSERTEdge: Count=66, Max=224767, Min=59360, Avg=88397.09, 90=126655, 99=151295, 99.9=224767, 99.99=224767] 
2018-04-22 06:36:27:752 80 sec: 384 operations; 5.2 current ops/sec; est completion in 33 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=61, Min=61, Avg=61, 90=61, 99=61, 99.9=61, 99.99=61] [INSERTNode: Count=52, Max=279807, Min=57632, Avg=82522.46, 90=117951, 99=129983, 99.9=279807, 99.99=279807] [INSERT: Count=122, Max=279807, Min=57632, Avg=81574.69, 90=116543, 99=154239, 99.9=279807, 99.99=279807] [GCS_TIME: Count=1, Max=13, Min=13, Avg=13, 90=13, 99=13, 99.9=13, 99.99=13] [INSERTEdge: Count=70, Max=154239, Min=58720, Avg=80870.63, 90=113855, 99=135039, 99.9=154239, 99.99=154239] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=52, Max=279807, Min=57632, Avg=82522.46, 90=117951, 99=129983, 99.9=279807, 99.99=279807] [Intended-INSERT: Count=122, Max=279807, Min=57632, Avg=81574.69, 90=116543, 99=154239, 99.9=279807, 99.99=279807] [Intended-INSERTEdge: Count=71, Max=154239, Min=58720, Avg=80596.73, 90=113855, 99=135039, 99.9=154239, 99.99=154239] 
2018-04-22 06:36:37:752 90 sec: 437 operations; 5.3 current ops/sec; est completion in 32 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=111, Min=111, Avg=111, 90=111, 99=111, 99.9=111, 99.99=111] [INSERTNode: Count=52, Max=171391, Min=58752, Avg=82661.23, 90=109567, 99=169599, 99.9=171391, 99.99=171391] [INSERT: Count=123, Max=201087, Min=58752, Avg=81463.8, 90=113663, 99=171391, 99.9=201087, 99.99=201087] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=71, Max=201087, Min=60480, Avg=80586.82, 90=113791, 99=164351, 99.9=201087, 99.99=201087] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=52, Max=171391, Min=58752, Avg=82661.23, 90=109567, 99=169599, 99.9=171391, 99.99=171391] [Intended-INSERT: Count=123, Max=201087, Min=58752, Avg=81464.07, 90=113663, 99=171391, 99.9=201087, 99.99=201087] [Intended-INSERTEdge: Count=70, Max=201087, Min=60480, Avg=80861.03, 90=113791, 99=164351, 99.9=201087, 99.99=201087] 
2018-04-22 06:36:47:752 100 sec: 485 operations; 4.8 current ops/sec; est completion in 32 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=78, Min=78, Avg=78, 90=78, 99=78, 99.9=78, 99.99=78] [INSERTNode: Count=49, Max=332031, Min=57408, Avg=89458.29, 90=129535, 99=332031, 99.9=332031, 99.99=332031] [INSERT: Count=113, Max=367103, Min=57408, Avg=87812.53, 90=127743, 99=332031, 99.9=367103, 99.99=367103] [GCS_TIME: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [INSERTEdge: Count=64, Max=367103, Min=59168, Avg=86552.5, 90=124031, 99=136063, 99.9=367103, 99.99=367103] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=49, Max=332031, Min=57408, Avg=89458.29, 90=129535, 99=332031, 99.9=332031, 99.99=332031] [Intended-INSERT: Count=114, Max=367103, Min=57408, Avg=87766.18, 90=127743, 99=332031, 99.9=367103, 99.99=367103] [Intended-INSERTEdge: Count=65, Max=367103, Min=59168, Avg=86490.58, 90=124031, 99=136063, 99.9=367103, 99.99=367103] 
2018-04-22 06:36:57:752 110 sec: 538 operations; 5.3 current ops/sec; est completion in 32 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=45, Min=45, Avg=45, 90=45, 99=45, 99.9=45, 99.99=45] [INSERTNode: Count=52, Max=160511, Min=57344, Avg=78941.85, 90=109439, 99=130879, 99.9=160511, 99.99=160511] [INSERT: Count=121, Max=160511, Min=57344, Avg=82431.47, 90=123711, 99=154111, 99.9=160511, 99.99=160511] [GCS_TIME: Count=1, Max=9, Min=9, Avg=9, 90=9, 99=9, 99.9=9, 99.99=9] [INSERTEdge: Count=69, Max=154111, Min=60512, Avg=85061.33, 90=124031, 99=135807, 99.9=154111, 99.99=154111] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=53, Max=160511, Min=57344, Avg=79138.72, 90=109439, 99=130879, 99.9=160511, 99.99=160511] [Intended-INSERT: Count=121, Max=160511, Min=57344, Avg=82488.6, 90=123711, 99=154111, 99.9=160511, 99.99=160511] [Intended-INSERTEdge: Count=68, Max=154111, Min=60512, Avg=85099.53, 90=124031, 99=135807, 99.9=154111, 99.99=154111] 
