/usr/lib/jvm/java-8-oracle/bin/java -Xmx16G -classpath /home/christian/Documents/BachelorThesis/YCSB/conf:/home/christian/Documents/BachelorThesis/YCSB/core/target/core-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/HdrHistogram-2.1.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/gson-2.8.2.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/neo4j-binding-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-analysis-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-tree-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-util-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcpkix-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcprov-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/caffeine-2.3.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-compress-1.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-lang3-3.5.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-text-1.1.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/concurrentlinkedhashmap-lru-1.4.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-analyzers-common-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-backward-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-core-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-queryparser-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-codegen-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-command-line-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-common-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-configuration-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-consistency-check-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-csv-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-logical-plans-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-dbms-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-algo-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-matching-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graphdb-api-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-import-tool-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-io-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-jmx-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-kernel-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-logging-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-upgrade-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-primitive-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-resource-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-ssl-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-udc-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-unsafe-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-values-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/netty-all-4.1.21.Final.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/opencsv-2.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-core-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-scala_2.11-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-library-2.11.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-reflect-2.11.12.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/1.SimpleProduct10000Nodes -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/1.SimpleProduct10000Nodes -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/1.SimpleProduct10000Nodes/run/3/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/1.SimpleProduct10000Nodes/run/3/measure
Command line: -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/1.SimpleProduct10000Nodes -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/1.SimpleProduct10000Nodes -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/1.SimpleProduct10000Nodes/run/3/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/1.SimpleProduct10000Nodes/run/3/measureYCSB Client 0.14.0-SNAPSHOT

Loading workload...
GraphDataGenerator creating RECREATOR.
RandomGraphComponentGenerator creating RECREATOR.
OperationOrderGenerator creating RECREATOR.
Starting test.
2018-04-22 10:53:05:442 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2018-04-22 10:53:15:426 10 sec: 23 operations; 2.3 current ops/sec; est completion in 1 hour 12 minutes [THREAD_COUNT: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=1, Max=2075647, Min=2074624, Avg=2075136, 90=2075647, 99=2075647, 99.9=2075647, 99.99=2075647] [GCS: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [USED_MEM_MB: Count=1, Max=15, Min=15, Avg=15, 90=15, 99=15, 99.9=15, 99.99=15] [INSERTNode: Count=24, Max=397823, Min=58624, Avg=133452, 90=178431, 99=397823, 99.9=397823, 99.99=397823] [INSERT: Count=55, Max=399871, Min=58624, Avg=141954.91, 90=186751, 99=397823, 99.9=399871, 99.99=399871] [GCS_TIME: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [INSERTEdge: Count=31, Max=399871, Min=82496, Avg=148537.81, 90=194943, 99=399871, 99.9=399871, 99.99=399871] [Intended-INITIALISE: Count=1, Max=2075647, Min=2074624, Avg=2075136, 90=2075647, 99=2075647, 99.9=2075647, 99.99=2075647] [Intended-INSERTNode: Count=24, Max=397823, Min=58624, Avg=133452, 90=178431, 99=397823, 99.9=397823, 99.99=397823] [Intended-INSERT: Count=55, Max=399871, Min=58624, Avg=141954.91, 90=186751, 99=397823, 99.9=399871, 99.99=399871] [Intended-INSERTEdge: Count=31, Max=399871, Min=82496, Avg=148537.81, 90=194943, 99=399871, 99.9=399871, 99.99=399871] 
2018-04-22 10:53:25:426 20 sec: 69 operations; 4.6 current ops/sec; est completion in 47 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [USED_MEM_MB: Count=1, Max=88, Min=88, Avg=88, 90=88, 99=88, 99.9=88, 99.99=88] [INSERTNode: Count=45, Max=198271, Min=56544, Avg=90202.67, 90=136575, 99=198271, 99.9=198271, 99.99=198271] [INSERT: Count=105, Max=245887, Min=56544, Avg=95327.54, 90=144895, 99=198271, 99.9=245887, 99.99=245887] [GCS_TIME: Count=1, Max=43, Min=43, Avg=43, 90=43, 99=43, 99.9=43, 99.99=43] [INSERTEdge: Count=60, Max=245887, Min=60096, Avg=99171.2, 90=157183, 99=187263, 99.9=245887, 99.99=245887] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=46, Max=198271, Min=56544, Avg=89693.57, 90=128319, 99=198271, 99.9=198271, 99.99=198271] [Intended-INSERT: Count=106, Max=245887, Min=56544, Avg=95058.26, 90=136575, 99=198271, 99.9=245887, 99.99=245887] [Intended-INSERTEdge: Count=60, Max=245887, Min=60096, Avg=99171.2, 90=157183, 99=187263, 99.9=245887, 99.99=245887] 
2018-04-22 10:53:35:426 30 sec: 116 operations; 4.7 current ops/sec; est completion in 42 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=49, Min=49, Avg=49, 90=49, 99=49, 99.9=49, 99.99=49] [INSERTNode: Count=47, Max=168063, Min=56320, Avg=83362.04, 90=108415, 99=168063, 99.9=168063, 99.99=168063] [INSERT: Count=110, Max=345087, Min=56320, Avg=90804.36, 90=124351, 99=296959, 99.9=345087, 99.99=345087] [GCS_TIME: Count=1, Max=9, Min=9, Avg=9, 90=9, 99=9, 99.9=9, 99.99=9] [INSERTEdge: Count=63, Max=345087, Min=63424, Avg=96356.57, 90=135423, 99=296959, 99.9=345087, 99.99=345087] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=46, Max=168063, Min=56320, Avg=83722.43, 90=108415, 99=168063, 99.9=168063, 99.99=168063] [Intended-INSERT: Count=110, Max=345087, Min=56320, Avg=90727.42, 90=124351, 99=296959, 99.9=345087, 99.99=345087] [Intended-INSERTEdge: Count=63, Max=345087, Min=63456, Avg=96357.08, 90=135423, 99=296959, 99.9=345087, 99.99=345087] 
2018-04-22 10:53:45:426 40 sec: 165 operations; 4.9 current ops/sec; est completion in 39 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=86, Min=86, Avg=86, 90=86, 99=86, 99.9=86, 99.99=86] [INSERTNode: Count=50, Max=129023, Min=56256, Avg=82591.68, 90=118655, 99=129023, 99.9=129023, 99.99=129023] [INSERT: Count=115, Max=183167, Min=56256, Avg=86406.82, 90=124543, 99=154879, 99.9=183167, 99.99=183167] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=65, Max=183167, Min=58784, Avg=89341.54, 90=134911, 99=154879, 99.9=183167, 99.99=183167] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=50, Max=129023, Min=56256, Avg=82591.68, 90=118655, 99=129023, 99.9=129023, 99.99=129023] [Intended-INSERT: Count=114, Max=183167, Min=56256, Avg=86653.47, 90=124543, 99=154879, 99.9=183167, 99.99=183167] [Intended-INSERTEdge: Count=65, Max=183167, Min=58784, Avg=89341.54, 90=134911, 99=154879, 99.9=183167, 99.99=183167] 
2018-04-22 10:53:55:426 50 sec: 215 operations; 5 current ops/sec; est completion in 37 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=109, Min=109, Avg=109, 90=109, 99=109, 99.9=109, 99.99=109] [INSERTNode: Count=49, Max=284159, Min=56928, Avg=80803.92, 90=109375, 99=284159, 99.9=284159, 99.99=284159] [INSERT: Count=117, Max=284159, Min=56928, Avg=85853.54, 90=124351, 99=225535, 99.9=284159, 99.99=284159] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=68, Max=225535, Min=61152, Avg=89492.24, 90=125439, 99=224127, 99.9=225535, 99.99=225535] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=49, Max=284159, Min=56928, Avg=80803.92, 90=109375, 99=284159, 99.9=284159, 99.99=284159] [Intended-INSERT: Count=117, Max=284159, Min=56928, Avg=85853.54, 90=124351, 99=225535, 99.9=284159, 99.99=284159] [Intended-INSERTEdge: Count=68, Max=225535, Min=61152, Avg=89492.24, 90=125439, 99=224127, 99.9=225535, 99.99=225535] 
2018-04-22 10:54:05:426 60 sec: 265 operations; 5 current ops/sec; est completion in 36 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=35, Min=35, Avg=35, 90=35, 99=35, 99.9=35, 99.99=35] [INSERTNode: Count=50, Max=129855, Min=58400, Avg=83871.68, 90=129471, 99=129855, 99.9=129855, 99.99=129855] [INSERT: Count=116, Max=214783, Min=58400, Avg=85780, 90=124543, 99=144511, 99.9=214783, 99.99=214783] [GCS_TIME: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [INSERTEdge: Count=66, Max=214783, Min=60896, Avg=87225.7, 90=124287, 99=144511, 99.9=214783, 99.99=214783] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=50, Max=129855, Min=58400, Avg=83872.32, 90=129471, 99=129855, 99.9=129855, 99.99=129855] [Intended-INSERT: Count=116, Max=214783, Min=58400, Avg=85780.28, 90=124543, 99=144511, 99.9=214783, 99.99=214783] [Intended-INSERTEdge: Count=66, Max=214783, Min=60896, Avg=87225.7, 90=124287, 99=144511, 99.9=214783, 99.99=214783] 
2018-04-22 10:54:15:426 70 sec: 313 operations; 4.8 current ops/sec; est completion in 36 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=70, Min=70, Avg=70, 90=70, 99=70, 99.9=70, 99.99=70] [INSERTNode: Count=49, Max=149119, Min=56736, Avg=85270.86, 90=127871, 99=149119, 99.9=149119, 99.99=149119] [INSERT: Count=113, Max=336895, Min=56736, Avg=88577.13, 90=127871, 99=172799, 99.9=336895, 99.99=336895] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=64, Max=336895, Min=58720, Avg=91108.5, 90=124095, 99=172799, 99.9=336895, 99.99=336895] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=49, Max=149119, Min=56736, Avg=85270.86, 90=127871, 99=149119, 99.9=149119, 99.99=149119] [Intended-INSERT: Count=113, Max=336895, Min=56736, Avg=88577.13, 90=127871, 99=172799, 99.9=336895, 99.99=336895] [Intended-INSERTEdge: Count=64, Max=336895, Min=58720, Avg=91108.5, 90=124095, 99=172799, 99.9=336895, 99.99=336895] 
2018-04-22 10:54:25:426 80 sec: 359 operations; 4.6 current ops/sec; est completion in 35 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=99, Min=99, Avg=99, 90=99, 99=99, 99.9=99, 99.99=99] [INSERTNode: Count=45, Max=301567, Min=57632, Avg=89550.93, 90=129791, 99=301567, 99.9=301567, 99.99=301567] [INSERT: Count=107, Max=301567, Min=57632, Avg=92612.49, 90=134015, 99=222463, 99.9=301567, 99.99=301567] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=62, Max=222463, Min=61248, Avg=94834.58, 90=143615, 99=184063, 99.9=222463, 99.99=222463] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=46, Max=301567, Min=57632, Avg=90002.09, 90=129727, 99=301567, 99.9=301567, 99.99=301567] [Intended-INSERT: Count=108, Max=301567, Min=57632, Avg=92776.3, 90=134015, 99=222463, 99.9=301567, 99.99=301567] [Intended-INSERTEdge: Count=62, Max=222463, Min=61248, Avg=94834.58, 90=143615, 99=184063, 99.9=222463, 99.99=222463] 
2018-04-22 10:54:35:426 90 sec: 408 operations; 4.9 current ops/sec; est completion in 35 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=40, Min=40, Avg=40, 90=40, 99=40, 99.9=40, 99.99=40] [INSERTNode: Count=50, Max=211455, Min=58048, Avg=86241.92, 90=128255, 99=211455, 99.9=211455, 99.99=211455] [INSERT: Count=115, Max=222463, Min=58048, Avg=87155.48, 90=129727, 99=215423, 99.9=222463, 99.99=222463] [GCS_TIME: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [INSERTEdge: Count=65, Max=222463, Min=60768, Avg=87858.22, 90=133631, 99=215423, 99.9=222463, 99.99=222463] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=49, Max=211455, Min=58048, Avg=85750.86, 90=128255, 99=211455, 99.9=211455, 99.99=211455] [Intended-INSERT: Count=114, Max=222463, Min=58048, Avg=86952.42, 90=129727, 99=215423, 99.9=222463, 99.99=222463] [Intended-INSERTEdge: Count=65, Max=222463, Min=60768, Avg=87858.22, 90=133631, 99=215423, 99.9=222463, 99.99=222463] 
2018-04-22 10:54:45:426 100 sec: 459 operations; 5.1 current ops/sec; est completion in 34 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=78, Min=78, Avg=78, 90=78, 99=78, 99.9=78, 99.99=78] [INSERTNode: Count=50, Max=131071, Min=57280, Avg=80138.56, 90=119679, 99=131071, 99.9=131071, 99.99=131071] [INSERT: Count=117, Max=427775, Min=57280, Avg=85882.94, 90=123647, 99=162815, 99.9=427775, 99.99=427775] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=67, Max=427775, Min=58208, Avg=90169.79, 90=123647, 99=162815, 99.9=427775, 99.99=427775] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=50, Max=131071, Min=57280, Avg=80138.56, 90=119679, 99=131071, 99.9=131071, 99.99=131071] [Intended-INSERT: Count=117, Max=427775, Min=57280, Avg=85882.94, 90=123647, 99=162815, 99.9=427775, 99.99=427775] [Intended-INSERTEdge: Count=67, Max=427775, Min=58208, Avg=90169.79, 90=123647, 99=162815, 99.9=427775, 99.99=427775] 
2018-04-22 10:54:55:426 110 sec: 510 operations; 5.1 current ops/sec; est completion in 34 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=42, Min=42, Avg=42, 90=42, 99=42, 99.9=42, 99.99=42] [INSERTNode: Count=51, Max=119871, Min=57280, Avg=82827.61, 90=119615, 99=119871, 99.9=119871, 99.99=119871] [INSERT: Count=120, Max=204671, Min=57280, Avg=82061.07, 90=117823, 99=194687, 99.9=204671, 99.99=204671] [GCS_TIME: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [INSERTEdge: Count=69, Max=204671, Min=60768, Avg=81494.49, 90=113471, 99=194687, 99.9=204671, 99.99=204671] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=51, Max=119871, Min=57280, Avg=82827.61, 90=119615, 99=119871, 99.9=119871, 99.99=119871] [Intended-INSERT: Count=120, Max=204671, Min=57280, Avg=82061.07, 90=117823, 99=194687, 99.9=204671, 99.99=204671] [Intended-INSERTEdge: Count=69, Max=204671, Min=60768, Avg=81494.49, 90=113471, 99=194687, 99.9=204671, 99.99=204671] 
