/usr/lib/jvm/java-8-oracle/bin/java -Xmx16G -classpath /home/christian/Documents/BachelorThesis/YCSB/conf:/home/christian/Documents/BachelorThesis/YCSB/core/target/core-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/HdrHistogram-2.1.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/gson-2.8.2.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/neo4j-binding-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-analysis-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-tree-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-util-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcpkix-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcprov-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/caffeine-2.3.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-compress-1.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-lang3-3.5.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-text-1.1.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/concurrentlinkedhashmap-lru-1.4.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-analyzers-common-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-backward-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-core-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-queryparser-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-codegen-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-command-line-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-common-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-configuration-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-consistency-check-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-csv-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-logical-plans-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-dbms-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-algo-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-matching-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graphdb-api-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-import-tool-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-io-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-jmx-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-kernel-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-logging-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-upgrade-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-primitive-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-resource-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-ssl-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-udc-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-unsafe-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-values-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/netty-all-4.1.21.Final.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/opencsv-2.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-core-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-scala_2.11-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-library-2.11.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-reflect-2.11.12.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/2.ProbingNodeCountIndex10000Nodes -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/2.ProbingNodeCountIndex10000Nodes -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeCountIndex10000Nodes/run/1/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeCountIndex10000Nodes/run/1/measure
Command line: -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/2.ProbingNodeCountIndex10000Nodes -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/2.ProbingNodeCountIndex10000Nodes -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeCountIndex10000Nodes/run/1/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeCountIndex10000Nodes/run/1/measureYCSB Client 0.14.0-SNAPSHOT

Loading workload...
GraphDataGenerator creating RECREATOR.
RandomGraphComponentGenerator creating RECREATOR.
OperationOrderGenerator creating RECREATOR.
Starting test.
2018-04-22 17:08:47:306 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2018-04-22 17:08:57:288 10 sec: 27 operations; 2.7 current ops/sec; est completion in 1 hour 1 minute [THREAD_COUNT: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=1, Max=1892351, Min=1891328, Avg=1891840, 90=1892351, 99=1892351, 99.9=1892351, 99.99=1892351] [GCS: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [USED_MEM_MB: Count=1, Max=16, Min=16, Avg=16, 90=16, 99=16, 99.9=16, 99.99=16] [INSERTNode: Count=28, Max=367615, Min=59648, Avg=123408.57, 90=179839, 99=367615, 99.9=367615, 99.99=367615] [INSERT: Count=63, Max=367615, Min=59648, Avg=127083.68, 90=189183, 99=363263, 99.9=367615, 99.99=367615] [GCS_TIME: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [INSERTEdge: Count=35, Max=363263, Min=64064, Avg=130023.77, 90=191743, 99=363263, 99.9=363263, 99.99=363263] [Intended-INITIALISE: Count=1, Max=1893375, Min=1892352, Avg=1892864, 90=1893375, 99=1893375, 99.9=1893375, 99.99=1893375] [Intended-INSERTNode: Count=28, Max=367615, Min=59648, Avg=123408.57, 90=179839, 99=367615, 99.9=367615, 99.99=367615] [Intended-INSERT: Count=64, Max=367615, Min=59648, Avg=127116.5, 90=189183, 99=363263, 99.9=367615, 99.99=367615] [Intended-INSERTEdge: Count=36, Max=363263, Min=64064, Avg=130000.44, 90=189183, 99=363263, 99.9=363263, 99.99=363263] 
2018-04-22 17:09:07:288 20 sec: 61 operations; 3.4 current ops/sec; est completion in 54 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [USED_MEM_MB: Count=1, Max=31, Min=31, Avg=31, 90=31, 99=31, 99.9=31, 99.99=31] [INSERTNode: Count=34, Max=212095, Min=57792, Avg=116914.35, 90=175615, 99=212095, 99.9=212095, 99.99=212095] [INSERT: Count=80, Max=254847, Min=57792, Avg=125577.2, 90=181503, 99=212095, 99.9=254847, 99.99=254847] [GCS_TIME: Count=1, Max=49, Min=49, Avg=49, 90=49, 99=49, 99.9=49, 99.99=49] [INSERTEdge: Count=46, Max=254847, Min=61184, Avg=131980.17, 90=181503, 99=254847, 99.9=254847, 99.99=254847] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=34, Max=212095, Min=57792, Avg=116914.35, 90=175615, 99=212095, 99.9=212095, 99.99=212095] [Intended-INSERT: Count=79, Max=254847, Min=57792, Avg=125531.54, 90=181503, 99=212095, 99.9=254847, 99.99=254847] [Intended-INSERTEdge: Count=45, Max=254847, Min=61184, Avg=132042.31, 90=190591, 99=254847, 99.9=254847, 99.99=254847] 
2018-04-22 17:09:17:288 30 sec: 96 operations; 3.5 current ops/sec; est completion in 51 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=33, Min=33, Avg=33, 90=33, 99=33, 99.9=33, 99.99=33] [INSERTNode: Count=35, Max=336895, Min=57344, Avg=119484.34, 90=159103, 99=336895, 99.9=336895, 99.99=336895] [INSERT: Count=82, Max=336895, Min=57344, Avg=121375.02, 90=154879, 99=184191, 99.9=336895, 99.99=336895] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=47, Max=184191, Min=63904, Avg=122782.98, 90=154879, 99=184191, 99.9=184191, 99.99=184191] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=35, Max=336895, Min=57344, Avg=119484.34, 90=159103, 99=336895, 99.9=336895, 99.99=336895] [Intended-INSERT: Count=83, Max=336895, Min=57344, Avg=120682.8, 90=154879, 99=184191, 99.9=336895, 99.99=336895] [Intended-INSERTEdge: Count=48, Max=184191, Min=63904, Avg=121556.67, 90=154879, 99=184191, 99.9=184191, 99.99=184191] 
2018-04-22 17:09:27:288 40 sec: 132 operations; 3.6 current ops/sec; est completion in 49 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=43, Min=43, Avg=43, 90=43, 99=43, 99.9=43, 99.99=43] [INSERTNode: Count=35, Max=290815, Min=57248, Avg=115853.71, 90=157183, 99=290815, 99.9=290815, 99.99=290815] [INSERT: Count=83, Max=290815, Min=57248, Avg=120107.37, 90=163839, 99=259071, 99.9=290815, 99.99=290815] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=48, Max=259071, Min=63040, Avg=123209, 90=163839, 99=259071, 99.9=259071, 99.99=259071] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=35, Max=290815, Min=57248, Avg=115853.71, 90=157183, 99=290815, 99.9=290815, 99.99=290815] [Intended-INSERT: Count=82, Max=290815, Min=57248, Avg=120792.59, 90=163839, 99=259071, 99.9=290815, 99.99=290815] [Intended-INSERTEdge: Count=47, Max=259071, Min=63040, Avg=124470.47, 90=163839, 99=259071, 99.9=259071, 99.99=259071] 
2018-04-22 17:09:37:288 50 sec: 166 operations; 3.4 current ops/sec; est completion in 49 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=30, Min=30, Avg=30, 90=30, 99=30, 99.9=30, 99.99=30] [INSERTNode: Count=35, Max=426239, Min=56352, Avg=124298.06, 90=159871, 99=426239, 99.9=426239, 99.99=426239] [INSERT: Count=81, Max=426239, Min=56352, Avg=123905.98, 90=159871, 99=255615, 99.9=426239, 99.99=426239] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=46, Max=255615, Min=60928, Avg=123607.65, 90=156031, 99=255615, 99.9=255615, 99.99=255615] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=35, Max=426239, Min=56352, Avg=124298.06, 90=159871, 99=426239, 99.9=426239, 99.99=426239] [Intended-INSERT: Count=81, Max=426239, Min=56352, Avg=123906.77, 90=159871, 99=255615, 99.9=426239, 99.99=426239] [Intended-INSERTEdge: Count=46, Max=255615, Min=60928, Avg=123609.04, 90=156031, 99=255615, 99.9=255615, 99.99=255615] 
2018-04-22 17:09:47:288 60 sec: 202 operations; 3.6 current ops/sec; est completion in 48 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [USED_MEM_MB: Count=1, Max=118, Min=118, Avg=118, 90=118, 99=118, 99.9=118, 99.99=118] [INSERTNode: Count=36, Max=308991, Min=58240, Avg=118556.44, 90=159615, 99=308991, 99.9=308991, 99.99=308991] [INSERT: Count=84, Max=308991, Min=58240, Avg=118689.14, 90=164223, 99=275711, 99.9=308991, 99.99=308991] [GCS_TIME: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [INSERTEdge: Count=48, Max=195071, Min=73152, Avg=118788.67, 90=150015, 99=195071, 99.9=195071, 99.99=195071] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=36, Max=308991, Min=58240, Avg=118556.44, 90=159615, 99=308991, 99.9=308991, 99.99=308991] [Intended-INSERT: Count=84, Max=308991, Min=58240, Avg=118689.14, 90=164223, 99=275711, 99.9=308991, 99.99=308991] [Intended-INSERTEdge: Count=48, Max=195071, Min=73152, Avg=118788.67, 90=150015, 99=195071, 99.9=195071, 99.99=195071] 
2018-04-22 17:09:57:288 70 sec: 242 operations; 4 current ops/sec; est completion in 47 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=110, Min=110, Avg=110, 90=110, 99=110, 99.9=110, 99.99=110] [INSERTNode: Count=39, Max=200703, Min=58176, Avg=107765.33, 90=140159, 99=200703, 99.9=200703, 99.99=200703] [INSERT: Count=91, Max=200703, Min=58176, Avg=109397.98, 90=153599, 99=192639, 99.9=200703, 99.99=200703] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=52, Max=192639, Min=60672, Avg=110622.46, 90=154495, 99=187391, 99.9=192639, 99.99=192639] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=39, Max=200703, Min=58176, Avg=107766.97, 90=140159, 99=200703, 99.9=200703, 99.99=200703] [Intended-INSERT: Count=91, Max=200703, Min=58176, Avg=109398.68, 90=153599, 99=192639, 99.9=200703, 99.99=200703] [Intended-INSERTEdge: Count=52, Max=192639, Min=60672, Avg=110622.46, 90=154495, 99=187391, 99.9=192639, 99.99=192639] 
2018-04-22 17:10:07:288 80 sec: 279 operations; 3.7 current ops/sec; est completion in 46 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=114, Min=114, Avg=114, 90=114, 99=114, 99.9=114, 99.99=114] [INSERTNode: Count=38, Max=200191, Min=58624, Avg=103437.89, 90=139391, 99=200191, 99.9=200191, 99.99=200191] [INSERT: Count=87, Max=323071, Min=58624, Avg=114003.86, 90=153855, 99=200191, 99.9=323071, 99.99=323071] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=49, Max=323071, Min=62528, Avg=122197.88, 90=154879, 99=323071, 99.9=323071, 99.99=323071] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=38, Max=200191, Min=58624, Avg=103439.58, 90=139391, 99=200191, 99.9=200191, 99.99=200191] [Intended-INSERT: Count=87, Max=323071, Min=58624, Avg=114004.6, 90=153855, 99=200191, 99.9=323071, 99.99=323071] [Intended-INSERTEdge: Count=50, Max=323071, Min=62528, Avg=122750.4, 90=154879, 99=323071, 99.9=323071, 99.99=323071] 
2018-04-22 17:10:17:288 90 sec: 317 operations; 3.8 current ops/sec; est completion in 45 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=25, Min=25, Avg=25, 90=25, 99=25, 99.9=25, 99.99=25] [INSERTNode: Count=37, Max=171007, Min=57248, Avg=109245.41, 90=150271, 99=171007, 99.9=171007, 99.99=171007] [INSERT: Count=89, Max=246143, Min=57248, Avg=112443.87, 90=164351, 99=245247, 99.9=246143, 99.99=246143] [GCS_TIME: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [INSERTEdge: Count=52, Max=246143, Min=60928, Avg=114719.69, 90=164863, 99=245247, 99.9=246143, 99.99=246143] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=37, Max=171007, Min=57248, Avg=109245.41, 90=150271, 99=171007, 99.9=171007, 99.99=171007] [Intended-INSERT: Count=89, Max=246143, Min=57248, Avg=112443.87, 90=164351, 99=245247, 99.9=246143, 99.99=246143] [Intended-INSERTEdge: Count=51, Max=246143, Min=60928, Avg=114031.37, 90=164863, 99=245247, 99.9=246143, 99.99=246143] 
2018-04-22 17:10:27:288 100 sec: 352 operations; 3.5 current ops/sec; est completion in 45 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=34, Min=34, Avg=34, 90=34, 99=34, 99.9=34, 99.99=34] [INSERTNode: Count=36, Max=272127, Min=58592, Avg=120420, 90=180351, 99=272127, 99.9=272127, 99.99=272127] [INSERT: Count=84, Max=272127, Min=58592, Avg=120276.76, 90=180479, 99=240639, 99.9=272127, 99.99=272127] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=48, Max=235135, Min=62208, Avg=120169.33, 90=164863, 99=235135, 99.9=235135, 99.99=235135] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=36, Max=272127, Min=58592, Avg=120420, 90=180351, 99=272127, 99.9=272127, 99.99=272127] [Intended-INSERT: Count=84, Max=272127, Min=58592, Avg=120277.52, 90=180479, 99=240639, 99.9=272127, 99.99=272127] [Intended-INSERTEdge: Count=48, Max=235135, Min=62208, Avg=120170.67, 90=164863, 99=235135, 99.9=235135, 99.99=235135] 
2018-04-22 17:10:37:288 110 sec: 388 operations; 3.6 current ops/sec; est completion in 45 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=41, Min=41, Avg=41, 90=41, 99=41, 99.9=41, 99.99=41] [INSERTNode: Count=35, Max=533503, Min=57120, Avg=121232, 90=150911, 99=533503, 99.9=533503, 99.99=533503] [INSERT: Count=80, Max=533503, Min=57120, Avg=124739.2, 90=151935, 99=283903, 99.9=533503, 99.99=533503] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=45, Max=283903, Min=63360, Avg=127467.02, 90=165247, 99=283903, 99.9=283903, 99.99=283903] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=35, Max=533503, Min=57120, Avg=121232, 90=150911, 99=533503, 99.9=533503, 99.99=533503] [Intended-INSERT: Count=80, Max=533503, Min=57120, Avg=124739.2, 90=151935, 99=283903, 99.9=533503, 99.99=533503] [Intended-INSERTEdge: Count=45, Max=283903, Min=63360, Avg=127467.02, 90=165247, 99=283903, 99.9=283903, 99.99=283903] 
