/usr/lib/jvm/java-8-oracle/bin/java -Xmx16G -classpath /home/christian/Documents/BachelorThesis/YCSB/conf:/home/christian/Documents/BachelorThesis/YCSB/core/target/core-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/HdrHistogram-2.1.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/gson-2.8.2.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/neo4j-binding-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-analysis-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-tree-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-util-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcpkix-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcprov-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/caffeine-2.3.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-compress-1.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-lang3-3.5.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-text-1.1.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/concurrentlinkedhashmap-lru-1.4.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-analyzers-common-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-backward-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-core-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-queryparser-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-codegen-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-command-line-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-common-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-configuration-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-consistency-check-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-csv-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-logical-plans-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-dbms-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-algo-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-matching-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graphdb-api-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-import-tool-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-io-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-jmx-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-kernel-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-logging-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-upgrade-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-primitive-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-resource-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-ssl-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-udc-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-unsafe-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-values-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/netty-all-4.1.21.Final.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/opencsv-2.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-core-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-scala_2.11-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-library-2.11.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-reflect-2.11.12.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/2.ProbingNodeCountIndex10000Nodes -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/2.ProbingNodeCountIndex10000Nodes -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeCountIndex10000Nodes/run/3/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeCountIndex10000Nodes/run/3/measure
Command line: -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/2.ProbingNodeCountIndex10000Nodes -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/2.ProbingNodeCountIndex10000Nodes -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeCountIndex10000Nodes/run/3/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeCountIndex10000Nodes/run/3/measureYCSB Client 0.14.0-SNAPSHOT

Loading workload...
GraphDataGenerator creating RECREATOR.
RandomGraphComponentGenerator creating RECREATOR.
OperationOrderGenerator creating RECREATOR.
Starting test.
2018-04-22 18:38:02:307 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2018-04-22 18:38:12:289 10 sec: 26 operations; 2.6 current ops/sec; est completion in 1 hour 3 minutes [THREAD_COUNT: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=1, Max=2144255, Min=2142208, Avg=2143232, 90=2144255, 99=2144255, 99.9=2144255, 99.99=2144255] [GCS: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [USED_MEM_MB: Count=1, Max=16, Min=16, Avg=16, 90=16, 99=16, 99.9=16, 99.99=16] [INSERTNode: Count=27, Max=372991, Min=60960, Avg=123390.81, 90=156543, 99=372991, 99.9=372991, 99.99=372991] [INSERT: Count=61, Max=372991, Min=60960, Avg=127192.92, 90=202879, 99=361727, 99.9=372991, 99.99=372991] [GCS_TIME: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [INSERTEdge: Count=34, Max=361727, Min=64896, Avg=130212.24, 90=206335, 99=361727, 99.9=361727, 99.99=361727] [Intended-INITIALISE: Count=1, Max=2144255, Min=2142208, Avg=2143232, 90=2144255, 99=2144255, 99.9=2144255, 99.99=2144255] [Intended-INSERTNode: Count=27, Max=372991, Min=60960, Avg=123393.19, 90=156543, 99=372991, 99.9=372991, 99.99=372991] [Intended-INSERT: Count=61, Max=372991, Min=60960, Avg=127193.97, 90=202879, 99=361727, 99.9=372991, 99.99=372991] [Intended-INSERTEdge: Count=34, Max=361727, Min=64896, Avg=130212.24, 90=206335, 99=361727, 99.9=361727, 99.99=361727] 
2018-04-22 18:38:22:289 20 sec: 62 operations; 3.6 current ops/sec; est completion in 53 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [USED_MEM_MB: Count=1, Max=28, Min=28, Avg=28, 90=28, 99=28, 99.9=28, 99.99=28] [INSERTNode: Count=36, Max=206591, Min=56704, Avg=116728, 90=158463, 99=206591, 99.9=206591, 99.99=206591] [INSERT: Count=84, Max=206591, Min=56704, Avg=119494.29, 90=157567, 99=206591, 99.9=206591, 99.99=206591] [GCS_TIME: Count=1, Max=55, Min=55, Avg=55, 90=55, 99=55, 99.9=55, 99.99=55] [INSERTEdge: Count=48, Max=206591, Min=65408, Avg=121569, 90=156671, 99=206591, 99.9=206591, 99.99=206591] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=36, Max=206591, Min=56704, Avg=116728, 90=158463, 99=206591, 99.9=206591, 99.99=206591] [Intended-INSERT: Count=84, Max=206591, Min=56704, Avg=119494.29, 90=157567, 99=206591, 99.9=206591, 99.99=206591] [Intended-INSERTEdge: Count=48, Max=206591, Min=65408, Avg=121569, 90=156671, 99=206591, 99.9=206591, 99.99=206591] 
2018-04-22 18:38:32:289 30 sec: 99 operations; 3.7 current ops/sec; est completion in 50 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=30, Min=30, Avg=30, 90=30, 99=30, 99.9=30, 99.99=30] [INSERTNode: Count=37, Max=160127, Min=57184, Avg=106961.73, 90=137983, 99=160127, 99.9=160127, 99.99=160127] [INSERT: Count=86, Max=206975, Min=57184, Avg=116216.19, 90=147967, 99=166911, 99.9=206975, 99.99=206975] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=49, Max=206975, Min=64032, Avg=123204.24, 90=152959, 99=206975, 99.9=206975, 99.99=206975] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=37, Max=160127, Min=57184, Avg=106961.73, 90=137983, 99=160127, 99.9=160127, 99.99=160127] [Intended-INSERT: Count=86, Max=206975, Min=57184, Avg=116216.19, 90=147967, 99=166911, 99.9=206975, 99.99=206975] [Intended-INSERTEdge: Count=49, Max=206975, Min=64032, Avg=123204.24, 90=152959, 99=206975, 99.9=206975, 99.99=206975] 
2018-04-22 18:38:42:289 40 sec: 135 operations; 3.6 current ops/sec; est completion in 48 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=35, Min=35, Avg=35, 90=35, 99=35, 99.9=35, 99.99=35] [INSERTNode: Count=36, Max=258047, Min=58336, Avg=118648.89, 90=168831, 99=258047, 99.9=258047, 99.99=258047] [INSERT: Count=84, Max=258047, Min=58336, Avg=118779.24, 90=165887, 99=205951, 99.9=258047, 99.99=258047] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=48, Max=205951, Min=63744, Avg=118877, 90=157311, 99=205951, 99.9=205951, 99.99=205951] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=36, Max=258047, Min=58336, Avg=118648.89, 90=168831, 99=258047, 99.9=258047, 99.99=258047] [Intended-INSERT: Count=84, Max=258047, Min=58336, Avg=118779.24, 90=165887, 99=205951, 99.9=258047, 99.99=258047] [Intended-INSERTEdge: Count=48, Max=205951, Min=63744, Avg=118877, 90=157311, 99=205951, 99.9=205951, 99.99=205951] 
2018-04-22 18:38:52:289 50 sec: 174 operations; 3.9 current ops/sec; est completion in 47 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [USED_MEM_MB: Count=1, Max=122, Min=122, Avg=122, 90=122, 99=122, 99.9=122, 99.99=122] [INSERTNode: Count=38, Max=169599, Min=59168, Avg=107958.74, 90=139135, 99=169599, 99.9=169599, 99.99=169599] [INSERT: Count=91, Max=169599, Min=59168, Avg=109160.97, 90=141311, 99=158975, 99.9=169599, 99.99=169599] [GCS_TIME: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [INSERTEdge: Count=53, Max=155519, Min=60352, Avg=110022.94, 90=142975, 99=154751, 99.9=155519, 99.99=155519] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=38, Max=169599, Min=59168, Avg=107960.42, 90=139135, 99=169599, 99.9=169599, 99.99=169599] [Intended-INSERT: Count=91, Max=169599, Min=59168, Avg=109161.67, 90=141311, 99=158975, 99.9=169599, 99.99=169599] [Intended-INSERTEdge: Count=53, Max=155519, Min=60352, Avg=110022.94, 90=142975, 99=154751, 99.9=155519, 99.99=155519] 
2018-04-22 18:39:02:289 60 sec: 210 operations; 3.6 current ops/sec; est completion in 46 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=105, Min=105, Avg=105, 90=105, 99=105, 99.9=105, 99.99=105] [INSERTNode: Count=36, Max=452863, Min=58688, Avg=126552.44, 90=150015, 99=452863, 99.9=452863, 99.99=452863] [INSERT: Count=84, Max=452863, Min=58688, Avg=119273.9, 90=153599, 99=167039, 99.9=452863, 99.99=452863] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=48, Max=164607, Min=63360, Avg=113815, 90=153599, 99=164607, 99.9=164607, 99.99=164607] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=36, Max=452863, Min=58688, Avg=126552.44, 90=150015, 99=452863, 99.9=452863, 99.99=452863] [Intended-INSERT: Count=84, Max=452863, Min=58688, Avg=119273.9, 90=153599, 99=167039, 99.9=452863, 99.99=452863] [Intended-INSERTEdge: Count=48, Max=164607, Min=63360, Avg=113815, 90=153599, 99=164607, 99.9=164607, 99.99=164607] 
2018-04-22 18:39:12:289 70 sec: 248 operations; 3.8 current ops/sec; est completion in 45 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=86, Min=86, Avg=86, 90=86, 99=86, 99.9=86, 99.99=86] [INSERTNode: Count=39, Max=159871, Min=57600, Avg=106317.13, 90=139775, 99=159871, 99.9=159871, 99.99=159871] [INSERT: Count=89, Max=176127, Min=57600, Avg=111692.04, 90=146303, 99=163327, 99.9=176127, 99.99=176127] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=50, Max=176127, Min=63232, Avg=115884.48, 90=153983, 99=176127, 99.9=176127, 99.99=176127] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=39, Max=159871, Min=57600, Avg=106317.13, 90=139775, 99=159871, 99.9=159871, 99.99=159871] [Intended-INSERT: Count=89, Max=176127, Min=57600, Avg=111692.04, 90=146303, 99=163327, 99.9=176127, 99.99=176127] [Intended-INSERTEdge: Count=50, Max=176127, Min=63232, Avg=115884.48, 90=153983, 99=176127, 99.9=176127, 99.99=176127] 
2018-04-22 18:39:22:289 80 sec: 285 operations; 3.7 current ops/sec; est completion in 45 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=73, Min=73, Avg=73, 90=73, 99=73, 99.9=73, 99.99=73] [INSERTNode: Count=36, Max=190207, Min=56704, Avg=118721.78, 90=159615, 99=190207, 99.9=190207, 99.99=190207] [INSERT: Count=85, Max=366591, Min=56704, Avg=118270.49, 90=154367, 99=190207, 99.9=366591, 99.99=366591] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=49, Max=366591, Min=60608, Avg=117938.94, 90=145023, 99=366591, 99.9=366591, 99.99=366591] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=36, Max=190207, Min=56704, Avg=118721.78, 90=159615, 99=190207, 99.9=190207, 99.99=190207] [Intended-INSERT: Count=85, Max=366591, Min=56704, Avg=118270.49, 90=154367, 99=190207, 99.9=366591, 99.99=366591] [Intended-INSERTEdge: Count=49, Max=366591, Min=60608, Avg=117938.94, 90=145023, 99=366591, 99.9=366591, 99.99=366591] 
2018-04-22 18:39:32:289 90 sec: 322 operations; 3.7 current ops/sec; est completion in 45 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=60, Min=60, Avg=60, 90=60, 99=60, 99.9=60, 99.99=60] [INSERTNode: Count=38, Max=278271, Min=58976, Avg=110946.53, 90=139775, 99=278271, 99.9=278271, 99.99=278271] [INSERT: Count=89, Max=278271, Min=58976, Avg=111415.73, 90=145791, 99=220671, 99.9=278271, 99.99=278271] [GCS_TIME: Count=1, Max=7, Min=7, Avg=7, 90=7, 99=7, 99.9=7, 99.99=7] [INSERTEdge: Count=51, Max=190719, Min=60384, Avg=111765.33, 90=153599, 99=175359, 99.9=190719, 99.99=190719] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=38, Max=278271, Min=58976, Avg=110946.53, 90=139775, 99=278271, 99.9=278271, 99.99=278271] [Intended-INSERT: Count=89, Max=278271, Min=58976, Avg=111417.17, 90=145791, 99=220671, 99.9=278271, 99.99=278271] [Intended-INSERTEdge: Count=51, Max=190719, Min=60384, Avg=111767.84, 90=153599, 99=175359, 99.9=190719, 99.99=190719] 
2018-04-22 18:39:42:289 100 sec: 358 operations; 3.6 current ops/sec; est completion in 44 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=56, Min=56, Avg=56, 90=56, 99=56, 99.9=56, 99.99=56] [INSERTNode: Count=36, Max=190719, Min=59296, Avg=115267.11, 90=149887, 99=190719, 99.9=190719, 99.99=190719] [INSERT: Count=84, Max=335103, Min=59296, Avg=118832.57, 90=149887, 99=190719, 99.9=335103, 99.99=335103] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=48, Max=335103, Min=82112, Avg=121506.67, 90=145279, 99=335103, 99.9=335103, 99.99=335103] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=36, Max=190719, Min=59296, Avg=115267.11, 90=149887, 99=190719, 99.9=190719, 99.99=190719] [Intended-INSERT: Count=84, Max=335103, Min=59296, Avg=118832.57, 90=149887, 99=190719, 99.9=335103, 99.99=335103] [Intended-INSERTEdge: Count=48, Max=335103, Min=82112, Avg=121506.67, 90=145279, 99=335103, 99.9=335103, 99.99=335103] 
2018-04-22 18:39:52:289 110 sec: 395 operations; 3.7 current ops/sec; est completion in 44 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=49, Min=49, Avg=49, 90=49, 99=49, 99.9=49, 99.99=49] [INSERTNode: Count=37, Max=190463, Min=58784, Avg=113823.14, 90=159999, 99=190463, 99.9=190463, 99.99=190463] [INSERT: Count=87, Max=237311, Min=58784, Avg=115807.26, 90=154111, 99=190463, 99.9=237311, 99.99=237311] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=50, Max=237311, Min=73536, Avg=117275.52, 90=152191, 99=237311, 99.9=237311, 99.99=237311] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=37, Max=190463, Min=58784, Avg=113823.14, 90=159999, 99=190463, 99.9=190463, 99.99=190463] [Intended-INSERT: Count=87, Max=237311, Min=58784, Avg=115807.26, 90=154111, 99=190463, 99.9=237311, 99.99=237311] [Intended-INSERTEdge: Count=50, Max=237311, Min=73536, Avg=117275.52, 90=152191, 99=237311, 99.9=237311, 99.99=237311] 
