/usr/lib/jvm/java-8-oracle/bin/java -Xmx16G -classpath /home/christian/Documents/BachelorThesis/YCSB/conf:/home/christian/Documents/BachelorThesis/YCSB/core/target/core-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/HdrHistogram-2.1.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/gson-2.8.2.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/neo4j-binding-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-analysis-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-tree-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-util-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcpkix-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcprov-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/caffeine-2.3.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-compress-1.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-lang3-3.5.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-text-1.1.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/concurrentlinkedhashmap-lru-1.4.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-analyzers-common-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-backward-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-core-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-queryparser-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-codegen-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-command-line-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-common-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-configuration-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-consistency-check-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-csv-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-logical-plans-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-dbms-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-algo-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-matching-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graphdb-api-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-import-tool-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-io-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-jmx-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-kernel-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-logging-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-upgrade-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-primitive-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-resource-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-ssl-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-udc-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-unsafe-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-values-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/netty-all-4.1.21.Final.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/opencsv-2.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-core-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-scala_2.11-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-library-2.11.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-reflect-2.11.12.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/2.ProbingNodeSize1kB -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/2.ProbingNodeSize1kB -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeSize1kB/run/1/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeSize1kB/run/1/measure
Command line: -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/2.ProbingNodeSize1kB -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/2.ProbingNodeSize1kB -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeSize1kB/run/1/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/2.ProbingNodeSize1kB/run/1/measureYCSB Client 0.14.0-SNAPSHOT

Loading workload...
GraphDataGenerator creating RECREATOR.
RandomGraphComponentGenerator creating RECREATOR.
OperationOrderGenerator creating RECREATOR.
Starting test.
2018-04-23 02:44:54:166 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2018-04-23 02:45:04:147 10 sec: 50 operations; 5 current ops/sec; est completion in 33 minutes [THREAD_COUNT: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=1, Max=1773567, Min=1772544, Avg=1773056, 90=1773567, 99=1773567, 99.9=1773567, 99.99=1773567] [GCS: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [USED_MEM_MB: Count=1, Max=15, Min=15, Avg=15, 90=15, 99=15, 99.9=15, 99.99=15] [INSERTNode: Count=50, Max=355583, Min=55840, Avg=66789.12, 90=63039, 99=355583, 99.9=355583, 99.99=355583] [INSERT: Count=116, Max=355583, Min=55840, Avg=70541.38, 90=73215, 99=219007, 99.9=355583, 99.99=355583] [GCS_TIME: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [INSERTEdge: Count=66, Max=219007, Min=63008, Avg=73384, 90=75327, 99=103231, 99.9=219007, 99.99=219007] [Intended-INITIALISE: Count=1, Max=1773567, Min=1772544, Avg=1773056, 90=1773567, 99=1773567, 99.9=1773567, 99.99=1773567] [Intended-INSERTNode: Count=50, Max=355583, Min=55840, Avg=66789.12, 90=63039, 99=355583, 99.9=355583, 99.99=355583] [Intended-INSERT: Count=116, Max=355583, Min=55840, Avg=70542.48, 90=73215, 99=219007, 99.9=355583, 99.99=355583] [Intended-INSERTEdge: Count=66, Max=219007, Min=63008, Avg=73385.94, 90=75455, 99=103231, 99.9=219007, 99.99=219007] 
2018-04-23 02:45:14:147 20 sec: 113 operations; 6.3 current ops/sec; est completion in 29 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [USED_MEM_MB: Count=1, Max=86, Min=86, Avg=86, 90=86, 99=86, 99.9=86, 99.99=86] [INSERTNode: Count=63, Max=144127, Min=58656, Avg=64604.19, 90=64543, 99=83711, 99.9=144127, 99.99=144127] [INSERT: Count=148, Max=144127, Min=58656, Avg=67213.08, 90=70591, 99=83711, 99.9=144127, 99.99=144127] [GCS_TIME: Count=1, Max=49, Min=49, Avg=49, 90=49, 99=49, 99.9=49, 99.99=49] [INSERTEdge: Count=85, Max=74943, Min=64704, Avg=69146.73, 90=71167, 99=73023, 99.9=74943, 99.99=74943] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=63, Max=144127, Min=58656, Avg=64604.7, 90=64543, 99=83711, 99.9=144127, 99.99=144127] [Intended-INSERT: Count=148, Max=144127, Min=58656, Avg=67213.3, 90=70591, 99=83711, 99.9=144127, 99.99=144127] [Intended-INSERTEdge: Count=85, Max=74943, Min=64704, Avg=69146.73, 90=71167, 99=73023, 99.9=74943, 99.99=74943] 
2018-04-23 02:45:24:147 30 sec: 165 operations; 5.2 current ops/sec; est completion in 29 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=81, Min=81, Avg=81, 90=81, 99=81, 99.9=81, 99.99=81] [INSERTNode: Count=53, Max=124543, Min=57472, Avg=72577.21, 90=121791, 99=124351, 99.9=124543, 99.99=124543] [INSERT: Count=121, Max=465407, Min=57472, Avg=82485.69, 90=126271, 99=224639, 99.9=465407, 99.99=465407] [GCS_TIME: Count=1, Max=8, Min=8, Avg=8, 90=8, 99=8, 99.9=8, 99.99=8] [INSERTEdge: Count=68, Max=465407, Min=58624, Avg=90208.47, 90=129471, 99=224639, 99.9=465407, 99.99=465407] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=53, Max=124543, Min=57472, Avg=72577.21, 90=121791, 99=124351, 99.9=124543, 99.99=124543] [Intended-INSERT: Count=121, Max=465407, Min=57472, Avg=82486.21, 90=126271, 99=224639, 99.9=465407, 99.99=465407] [Intended-INSERTEdge: Count=68, Max=465407, Min=58624, Avg=90209.41, 90=129471, 99=224639, 99.9=465407, 99.99=465407] 
2018-04-23 02:45:34:147 40 sec: 204 operations; 3.9 current ops/sec; est completion in 32 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=116, Min=116, Avg=116, 90=116, 99=116, 99.9=116, 99.99=116] [INSERTNode: Count=38, Max=179071, Min=55232, Avg=108696.42, 90=169343, 99=179071, 99.9=179071, 99.99=179071] [INSERT: Count=91, Max=238719, Min=55232, Avg=109449.14, 90=169855, 99=179071, 99.9=238719, 99.99=238719] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=53, Max=238719, Min=60224, Avg=109988.83, 90=171519, 99=176511, 99.9=238719, 99.99=238719] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=38, Max=179071, Min=55232, Avg=108696.42, 90=169343, 99=179071, 99.9=179071, 99.99=179071] [Intended-INSERT: Count=91, Max=238719, Min=55232, Avg=109449.14, 90=169855, 99=179071, 99.9=238719, 99.99=238719] [Intended-INSERTEdge: Count=53, Max=238719, Min=60224, Avg=109988.83, 90=171519, 99=176511, 99.9=238719, 99.99=238719] 
2018-04-23 02:45:44:147 50 sec: 243 operations; 3.9 current ops/sec; est completion in 33 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=116, Min=116, Avg=116, 90=116, 99=116, 99.9=116, 99.99=116] [INSERTNode: Count=39, Max=250751, Min=57536, Avg=107444.51, 90=164223, 99=250751, 99.9=250751, 99.99=250751] [INSERT: Count=91, Max=250751, Min=57536, Avg=110331.25, 90=170623, 99=183039, 99.9=250751, 99.99=250751] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=51, Max=183039, Min=61152, Avg=112264.47, 90=170623, 99=176127, 99.9=183039, 99.99=183039] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=40, Max=250751, Min=57536, Avg=107868, 90=164223, 99=250751, 99.9=250751, 99.99=250751] [Intended-INSERT: Count=91, Max=250751, Min=57536, Avg=110331.96, 90=170623, 99=183039, 99.9=250751, 99.99=250751] [Intended-INSERTEdge: Count=51, Max=183039, Min=61152, Avg=112264.47, 90=170623, 99=176127, 99.9=183039, 99.99=183039] 
2018-04-23 02:45:54:147 60 sec: 282 operations; 3.9 current ops/sec; est completion in 34 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=100, Min=100, Avg=100, 90=100, 99=100, 99.9=100, 99.99=100] [INSERTNode: Count=39, Max=191231, Min=57472, Avg=110564.92, 90=164479, 99=191231, 99.9=191231, 99.99=191231] [INSERT: Count=91, Max=191231, Min=57472, Avg=108581.8, 90=169087, 99=177535, 99.9=191231, 99.99=191231] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=53, Max=177535, Min=60832, Avg=107419.47, 90=174975, 99=176127, 99.9=177535, 99.99=177535] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=38, Max=191231, Min=57472, Avg=110202.95, 90=164479, 99=191231, 99.9=191231, 99.99=191231] [Intended-INSERT: Count=91, Max=191231, Min=57472, Avg=108581.8, 90=169087, 99=177535, 99.9=191231, 99.99=191231] [Intended-INSERTEdge: Count=53, Max=177535, Min=60832, Avg=107419.47, 90=174975, 99=176127, 99.9=177535, 99.99=177535] 
2018-04-23 02:46:04:147 70 sec: 322 operations; 4 current ops/sec; est completion in 35 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=90, Min=90, Avg=90, 90=90, 99=90, 99.9=90, 99.99=90] [INSERTNode: Count=41, Max=251263, Min=55328, Avg=105532.88, 90=172159, 99=251263, 99.9=251263, 99.99=251263] [INSERT: Count=94, Max=251263, Min=55328, Avg=105845.79, 90=170239, 99=191871, 99.9=251263, 99.99=251263] [GCS_TIME: Count=1, Max=7, Min=7, Avg=7, 90=7, 99=7, 99.9=7, 99.99=7] [INSERTEdge: Count=53, Max=175103, Min=58400, Avg=106087.85, 90=170111, 99=173951, 99.9=175103, 99.99=175103] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=41, Max=251263, Min=55328, Avg=105532.88, 90=172159, 99=251263, 99.9=251263, 99.99=251263] [Intended-INSERT: Count=94, Max=251263, Min=55328, Avg=105845.79, 90=170239, 99=191871, 99.9=251263, 99.99=251263] [Intended-INSERTEdge: Count=53, Max=175103, Min=58400, Avg=106087.85, 90=170111, 99=173951, 99.9=175103, 99.99=175103] 
2018-04-23 02:46:14:147 80 sec: 366 operations; 4.4 current ops/sec; est completion in 35 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=85, Min=85, Avg=85, 90=85, 99=85, 99.9=85, 99.99=85] [INSERTNode: Count=43, Max=125375, Min=55232, Avg=87606.33, 90=124223, 99=125375, 99.9=125375, 99.99=125375] [INSERT: Count=102, Max=266239, Min=55232, Avg=99000, 90=129279, 99=177535, 99.9=266239, 99.99=266239] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=59, Max=266239, Min=60000, Avg=107303.86, 90=129727, 99=177535, 99.9=266239, 99.99=266239] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=43, Max=125375, Min=55232, Avg=87606.33, 90=124223, 99=125375, 99.9=125375, 99.99=125375] [Intended-INSERT: Count=102, Max=266239, Min=55232, Avg=99000, 90=129279, 99=177535, 99.9=266239, 99.99=266239] [Intended-INSERTEdge: Count=59, Max=266239, Min=60000, Avg=107303.86, 90=129727, 99=177535, 99.9=266239, 99.99=266239] 
2018-04-23 02:46:24:147 90 sec: 404 operations; 3.8 current ops/sec; est completion in 35 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=97, Min=97, Avg=97, 90=97, 99=97, 99.9=97, 99.99=97] [INSERTNode: Count=39, Max=209791, Min=54816, Avg=102136.62, 90=159999, 99=209791, 99.9=209791, 99.99=209791] [INSERT: Count=89, Max=253951, Min=54816, Avg=111298.88, 90=170111, 99=209791, 99.9=253951, 99.99=253951] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=50, Max=253951, Min=61024, Avg=118445.44, 90=170111, 99=253951, 99.9=253951, 99.99=253951] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=39, Max=209791, Min=54816, Avg=102136.62, 90=159999, 99=209791, 99.9=209791, 99.99=209791] [Intended-INSERT: Count=89, Max=253951, Min=54816, Avg=111298.88, 90=170111, 99=209791, 99.9=253951, 99.99=253951] [Intended-INSERTEdge: Count=51, Max=253951, Min=61024, Avg=118624.63, 90=170111, 99=194431, 99.9=253951, 99.99=253951] 
2018-04-23 02:46:34:147 100 sec: 443 operations; 3.9 current ops/sec; est completion in 35 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=95, Min=95, Avg=95, 90=95, 99=95, 99.9=95, 99.99=95] [INSERTNode: Count=39, Max=238463, Min=57696, Avg=111004.31, 90=169727, 99=238463, 99.9=238463, 99.99=238463] [INSERT: Count=92, Max=238463, Min=57696, Avg=109747.3, 90=172031, 99=179327, 99.9=238463, 99.99=238463] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=53, Max=179327, Min=60256, Avg=108822.34, 90=174207, 99=176383, 99.9=179327, 99.99=179327] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=39, Max=238463, Min=57696, Avg=111004.31, 90=169727, 99=238463, 99.9=238463, 99.99=238463] [Intended-INSERT: Count=92, Max=238463, Min=57696, Avg=109747.3, 90=172031, 99=179327, 99.9=238463, 99.99=238463] [Intended-INSERTEdge: Count=52, Max=179327, Min=60256, Avg=108461.54, 90=174207, 99=176383, 99.9=179327, 99.99=179327] 
2018-04-23 02:46:44:147 110 sec: 483 operations; 4 current ops/sec; est completion in 36 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=99, Min=99, Avg=99, 90=99, 99=99, 99.9=99, 99.99=99] [INSERTNode: Count=39, Max=225535, Min=56416, Avg=101837.54, 90=125375, 99=225535, 99.9=225535, 99.99=225535] [INSERT: Count=91, Max=226175, Min=56416, Avg=109072.53, 90=131199, 99=225535, 99.9=226175, 99.99=226175] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=52, Max=226175, Min=59616, Avg=114498.77, 90=169471, 99=175615, 99.9=226175, 99.99=226175] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=39, Max=225535, Min=56416, Avg=101837.54, 90=125375, 99=225535, 99.9=225535, 99.99=225535] [Intended-INSERT: Count=91, Max=226175, Min=56416, Avg=109072.53, 90=131199, 99=225535, 99.9=226175, 99.99=226175] [Intended-INSERTEdge: Count=52, Max=226175, Min=59616, Avg=114498.77, 90=169471, 99=175615, 99.9=226175, 99.99=226175] 
