/usr/lib/jvm/java-8-oracle/bin/java -Xmx16G -classpath /home/christian/Documents/BachelorThesis/YCSB/conf:/home/christian/Documents/BachelorThesis/YCSB/core/target/core-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/HdrHistogram-2.1.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/gson-2.8.2.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/neo4j-binding-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-analysis-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-tree-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-util-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcpkix-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcprov-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/caffeine-2.3.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-compress-1.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-lang3-3.5.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-text-1.1.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/concurrentlinkedhashmap-lru-1.4.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-analyzers-common-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-backward-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-core-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-queryparser-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-codegen-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-command-line-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-common-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-configuration-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-consistency-check-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-csv-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-logical-plans-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-dbms-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-algo-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-matching-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graphdb-api-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-import-tool-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-io-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-jmx-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-kernel-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-logging-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-upgrade-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-primitive-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-resource-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-ssl-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-udc-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-unsafe-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-values-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/netty-all-4.1.21.Final.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/opencsv-2.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-core-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-scala_2.11-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-library-2.11.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-reflect-2.11.12.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/3.ProbingNodeSize10kB -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/3.ProbingNodeSize10kB -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/3.ProbingNodeSize10kB/run/3/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/3.ProbingNodeSize10kB/run/3/measure
Command line: -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/3.ProbingNodeSize10kB -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/3.ProbingNodeSize10kB -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/3.ProbingNodeSize10kB/run/3/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/3.ProbingNodeSize10kB/run/3/measureYCSB Client 0.14.0-SNAPSHOT

Loading workload...
GraphDataGenerator creating RECREATOR.
RandomGraphComponentGenerator creating RECREATOR.
OperationOrderGenerator creating RECREATOR.
Starting test.
2018-04-23 13:22:58:834 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2018-04-23 13:23:08:818 10 sec: 27 operations; 2.7 current ops/sec; est completion in 1 hour 1 minute [THREAD_COUNT: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=1, Max=1765375, Min=1764352, Avg=1764864, 90=1765375, 99=1765375, 99.9=1765375, 99.99=1765375] [GCS: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [USED_MEM_MB: Count=1, Max=16, Min=16, Avg=16, 90=16, 99=16, 99.9=16, 99.99=16] [INSERTNode: Count=28, Max=408831, Min=56128, Avg=120805.71, 90=142079, 99=408831, 99.9=408831, 99.99=408831] [INSERT: Count=63, Max=408831, Min=56128, Avg=128682.67, 90=178559, 99=264447, 99.9=408831, 99.99=408831] [GCS_TIME: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [INSERTEdge: Count=35, Max=264447, Min=71296, Avg=134984.23, 90=235775, 99=264447, 99.9=264447, 99.99=264447] [Intended-INITIALISE: Count=1, Max=1765375, Min=1764352, Avg=1764864, 90=1765375, 99=1765375, 99.9=1765375, 99.99=1765375] [Intended-INSERTNode: Count=28, Max=408831, Min=56128, Avg=120805.71, 90=142079, 99=408831, 99.9=408831, 99.99=408831] [Intended-INSERT: Count=63, Max=408831, Min=56128, Avg=128682.67, 90=178559, 99=264447, 99.9=408831, 99.99=408831] [Intended-INSERTEdge: Count=36, Max=264447, Min=71296, Avg=134941.33, 90=209407, 99=264447, 99.9=264447, 99.99=264447] 
2018-04-23 13:23:18:818 20 sec: 62 operations; 3.5 current ops/sec; est completion in 53 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [USED_MEM_MB: Count=1, Max=39, Min=39, Avg=39, 90=39, 99=39, 99.9=39, 99.99=39] [INSERTNode: Count=35, Max=187647, Min=56544, Avg=115942.86, 90=148607, 99=187647, 99.9=187647, 99.99=187647] [INSERT: Count=82, Max=196991, Min=56544, Avg=121906.15, 90=153215, 99=196095, 99.9=196991, 99.99=196991] [GCS_TIME: Count=1, Max=48, Min=48, Avg=48, 90=48, 99=48, 99.9=48, 99.99=48] [INSERTEdge: Count=47, Max=196991, Min=85248, Avg=126346.89, 90=153215, 99=196991, 99.9=196991, 99.99=196991] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=35, Max=187647, Min=56544, Avg=115942.86, 90=148607, 99=187647, 99.9=187647, 99.99=187647] [Intended-INSERT: Count=82, Max=196991, Min=56544, Avg=121906.15, 90=153215, 99=196095, 99.9=196991, 99.99=196991] [Intended-INSERTEdge: Count=46, Max=196991, Min=85248, Avg=126192.7, 90=153215, 99=196991, 99.9=196991, 99.99=196991] 
2018-04-23 13:23:28:818 30 sec: 98 operations; 3.6 current ops/sec; est completion in 50 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=52, Min=52, Avg=52, 90=52, 99=52, 99.9=52, 99.99=52] [INSERTNode: Count=35, Max=186623, Min=57280, Avg=108233.6, 90=147967, 99=186623, 99.9=186623, 99.99=186623] [INSERT: Count=83, Max=296703, Min=57280, Avg=120364.53, 90=156031, 99=252671, 99.9=296703, 99.99=296703] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=48, Max=296703, Min=82432, Avg=129210, 90=156287, 99=296703, 99.9=296703, 99.99=296703] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=35, Max=186623, Min=57280, Avg=108233.6, 90=147967, 99=186623, 99.9=186623, 99.99=186623] [Intended-INSERT: Count=83, Max=296703, Min=57280, Avg=120364.53, 90=156031, 99=252671, 99.9=296703, 99.99=296703] [Intended-INSERTEdge: Count=48, Max=296703, Min=82432, Avg=129210, 90=156287, 99=296703, 99.9=296703, 99.99=296703] 
2018-04-23 13:23:38:818 40 sec: 134 operations; 3.6 current ops/sec; est completion in 49 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=71, Min=71, Avg=71, 90=71, 99=71, 99.9=71, 99.99=71] [INSERTNode: Count=37, Max=392703, Min=78336, Avg=123183.57, 90=149503, 99=392703, 99.9=392703, 99.99=392703] [INSERT: Count=85, Max=392703, Min=65856, Avg=117627.48, 90=154879, 99=234367, 99.9=392703, 99.99=392703] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=48, Max=234367, Min=65856, Avg=113344.67, 90=154239, 99=234367, 99.9=234367, 99.99=234367] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=37, Max=392703, Min=78336, Avg=123185.3, 90=149503, 99=392703, 99.9=392703, 99.99=392703] [Intended-INSERT: Count=85, Max=392703, Min=65856, Avg=117628.24, 90=154879, 99=234367, 99.9=392703, 99.99=392703] [Intended-INSERTEdge: Count=48, Max=234367, Min=65856, Avg=113344.67, 90=154239, 99=234367, 99.9=234367, 99.99=234367] 
2018-04-23 13:23:48:818 50 sec: 172 operations; 3.8 current ops/sec; est completion in 47 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=73, Min=73, Avg=73, 90=73, 99=73, 99.9=73, 99.99=73] [INSERTNode: Count=38, Max=150655, Min=58464, Avg=110576.42, 90=139263, 99=150655, 99.9=150655, 99.99=150655] [INSERT: Count=89, Max=195071, Min=58464, Avg=110882.88, 90=146559, 99=175487, 99.9=195071, 99.99=195071] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=51, Max=195071, Min=62240, Avg=111111.22, 90=146559, 99=175487, 99.9=195071, 99.99=195071] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=38, Max=150655, Min=58464, Avg=110576.42, 90=139263, 99=150655, 99.9=150655, 99.99=150655] [Intended-INSERT: Count=89, Max=195071, Min=58464, Avg=110882.88, 90=146559, 99=175487, 99.9=195071, 99.99=195071] [Intended-INSERTEdge: Count=51, Max=195071, Min=62240, Avg=111111.22, 90=146559, 99=175487, 99.9=195071, 99.99=195071] 
2018-04-23 13:23:58:818 60 sec: 211 operations; 3.9 current ops/sec; est completion in 46 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=81, Min=81, Avg=81, 90=81, 99=81, 99.9=81, 99.99=81] [INSERTNode: Count=39, Max=169983, Min=78400, Avg=108244.51, 90=139519, 99=169983, 99.9=169983, 99.99=169983] [INSERT: Count=91, Max=192639, Min=63520, Avg=109650.11, 90=144639, 99=174719, 99.9=192639, 99.99=192639] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=52, Max=192639, Min=63520, Avg=110704.31, 90=144767, 99=174719, 99.9=192639, 99.99=192639] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=39, Max=169983, Min=78400, Avg=108244.51, 90=139519, 99=169983, 99.9=169983, 99.99=169983] [Intended-INSERT: Count=92, Max=192639, Min=63520, Avg=110035.3, 90=144767, 99=174719, 99.9=192639, 99.99=192639] [Intended-INSERTEdge: Count=53, Max=192639, Min=63520, Avg=111353.06, 90=145151, 99=174719, 99.9=192639, 99.99=192639] 
2018-04-23 13:24:08:818 70 sec: 248 operations; 3.7 current ops/sec; est completion in 45 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=94, Min=94, Avg=94, 90=94, 99=94, 99.9=94, 99.99=94] [INSERTNode: Count=37, Max=205567, Min=58656, Avg=113632.43, 90=149759, 99=205567, 99.9=205567, 99.99=205567] [INSERT: Count=86, Max=205567, Min=58656, Avg=116487.63, 90=151935, 99=204799, 99.9=205567, 99.99=205567] [GCS_TIME: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] [INSERTEdge: Count=50, Max=204799, Min=73728, Avg=118343.68, 90=153855, 99=204799, 99.9=204799, 99.99=204799] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=37, Max=205567, Min=58656, Avg=113632.43, 90=149759, 99=205567, 99.9=205567, 99.99=205567] [Intended-INSERT: Count=86, Max=205567, Min=58656, Avg=116005.77, 90=151935, 99=204799, 99.9=205567, 99.99=205567] [Intended-INSERTEdge: Count=49, Max=204799, Min=73728, Avg=117797.88, 90=153855, 99=204799, 99.9=204799, 99.99=204799] 
2018-04-23 13:24:18:818 80 sec: 287 operations; 3.9 current ops/sec; est completion in 45 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=101, Min=101, Avg=101, 90=101, 99=101, 99.9=101, 99.99=101] [INSERTNode: Count=38, Max=240767, Min=56608, Avg=108152, 90=150015, 99=240767, 99.9=240767, 99.99=240767] [INSERT: Count=91, Max=240767, Min=56608, Avg=109416.79, 90=144383, 99=225535, 99.9=240767, 99.99=240767] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=52, Max=225535, Min=62944, Avg=110452, 90=144127, 99=164223, 99.9=225535, 99.99=225535] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=38, Max=240767, Min=56608, Avg=108152, 90=150015, 99=240767, 99.9=240767, 99.99=240767] [Intended-INSERT: Count=90, Max=240767, Min=56608, Avg=109480.89, 90=144383, 99=225535, 99.9=240767, 99.99=240767] [Intended-INSERTEdge: Count=52, Max=225535, Min=62944, Avg=110452, 90=144127, 99=164223, 99.9=225535, 99.99=225535] 
2018-04-23 13:24:28:818 90 sec: 327 operations; 4 current ops/sec; est completion in 44 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=28, Min=28, Avg=28, 90=28, 99=28, 99.9=28, 99.99=28] [INSERTNode: Count=40, Max=149759, Min=57376, Avg=111606.8, 90=139903, 99=149759, 99.9=149759, 99.99=149759] [INSERT: Count=92, Max=184575, Min=57376, Avg=109333.22, 90=143999, 99=177663, 99.9=184575, 99.99=184575] [GCS_TIME: Count=1, Max=9, Min=9, Avg=9, 90=9, 99=9, 99.9=9, 99.99=9] [INSERTEdge: Count=52, Max=184575, Min=62976, Avg=107584.31, 90=144127, 99=177663, 99.9=184575, 99.99=184575] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=40, Max=149759, Min=57376, Avg=111606.8, 90=139903, 99=149759, 99.9=149759, 99.99=149759] [Intended-INSERT: Count=92, Max=184575, Min=57376, Avg=109333.22, 90=143999, 99=177663, 99.9=184575, 99.99=184575] [Intended-INSERTEdge: Count=52, Max=184575, Min=62976, Avg=107584.31, 90=144127, 99=177663, 99.9=184575, 99.99=184575] 
2018-04-23 13:24:38:818 100 sec: 364 operations; 3.7 current ops/sec; est completion in 44 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=53, Min=53, Avg=53, 90=53, 99=53, 99.9=53, 99.99=53] [INSERTNode: Count=38, Max=251391, Min=68736, Avg=107933.47, 90=140287, 99=251391, 99.9=251391, 99.99=251391] [INSERT: Count=88, Max=315391, Min=68224, Avg=113037.45, 90=149503, 99=251391, 99.9=315391, 99.99=315391] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=50, Max=315391, Min=68224, Avg=116916.48, 90=154111, 99=315391, 99.9=315391, 99.99=315391] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=38, Max=251391, Min=68736, Avg=107933.47, 90=140287, 99=251391, 99.9=251391, 99.99=251391] [Intended-INSERT: Count=88, Max=315391, Min=68224, Avg=113037.45, 90=149503, 99=251391, 99.9=315391, 99.99=315391] [Intended-INSERTEdge: Count=50, Max=315391, Min=68224, Avg=116916.48, 90=154111, 99=315391, 99.9=315391, 99.99=315391] 
2018-04-23 13:24:48:818 110 sec: 402 operations; 3.8 current ops/sec; est completion in 43 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=74, Min=74, Avg=74, 90=74, 99=74, 99.9=74, 99.99=74] [INSERTNode: Count=38, Max=181247, Min=59392, Avg=115492.63, 90=149503, 99=181247, 99.9=181247, 99.99=181247] [INSERT: Count=89, Max=181247, Min=59392, Avg=111992.45, 90=147967, 99=177919, 99.9=181247, 99.99=181247] [GCS_TIME: Count=1, Max=6, Min=6, Avg=6, 90=6, 99=6, 99.9=6, 99.99=6] [INSERTEdge: Count=51, Max=174719, Min=63136, Avg=109384.47, 90=146175, 99=164991, 99.9=174719, 99.99=174719] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=38, Max=181247, Min=59392, Avg=115492.63, 90=149503, 99=181247, 99.9=181247, 99.99=181247] [Intended-INSERT: Count=89, Max=181247, Min=59392, Avg=111992.45, 90=147967, 99=177919, 99.9=181247, 99.99=181247] [Intended-INSERTEdge: Count=51, Max=174719, Min=63136, Avg=109384.47, 90=146175, 99=164991, 99.9=174719, 99.99=174719] 
