/usr/lib/jvm/java-8-oracle/bin/java -Xmx16G -classpath /home/christian/Documents/BachelorThesis/YCSB/conf:/home/christian/Documents/BachelorThesis/YCSB/core/target/core-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/HdrHistogram-2.1.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/gson-2.8.2.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/neo4j-binding-0.14.0-SNAPSHOT.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-analysis-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-tree-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/asm-util-5.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcpkix-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/bcprov-jdk15on-1.53.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/caffeine-2.3.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-compress-1.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-lang3-3.5.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/commons-text-1.1.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/concurrentlinkedhashmap-lru-1.4.2.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-analyzers-common-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-backward-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-codecs-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-core-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/lucene-queryparser-5.5.0.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-codegen-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-command-line-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-common-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-configuration-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-consistency-check-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-csv-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-compiler-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-2.3-2.3.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.1-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-frontend-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.2-3.2.9.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-ir-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-cypher-logical-plans-3.3-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-dbms-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-algo-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graph-matching-3.1.6.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-graphdb-api-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-import-tool-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-io-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-jmx-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-kernel-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-logging-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-index-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-lucene-upgrade-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-primitive-collections-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-resource-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-ssl-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-udc-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-unsafe-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/neo4j-values-3.3.4.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/netty-all-4.1.21.Final.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/opencsv-2.3.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-core-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/parboiled-scala_2.11-1.1.7.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-library-2.11.12.jar:/home/christian/Documents/BachelorThesis/YCSB/neo4j/target/dependency/scala-reflect-2.11.12.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/5.ProbingNodeSize1MB -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/5.ProbingNodeSize1MB -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/5.ProbingNodeSize1MB/run/3/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/5.ProbingNodeSize1MB/run/3/measure
Command line: -t -db com.yahoo.ycsb.db.neo4j.Neo4jClient -P /home/christian/Documents/BachelorThesis/notes/workloads/Insert/WorkloadsToRunWithAllDatabases/5.ProbingNodeSize1MB -s -p datasetdirectory=/home/christian/Documents/BachelorThesis/results/dataSet/5.ProbingNodeSize1MB -p neo4j.path=/home/christian/Documents/BachelorThesis/results/database -p orientdb.url=plocal:/home/christian/Documents/BachelorThesis/results/database -p outputdirectory=/home/christian/Documents/BachelorThesis/results/database -p sparksee.path=/home/christian/Documents/BachelorThesis/results/database/database.gdb -p measurement.trackjvm=true -p measurement.interval=both -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/christian/Documents/BachelorThesis/results/neo4j/5.ProbingNodeSize1MB/run/3/ -p exportfile=/home/christian/Documents/BachelorThesis/results/neo4j/5.ProbingNodeSize1MB/run/3/measureYCSB Client 0.14.0-SNAPSHOT

Loading workload...
GraphDataGenerator creating RECREATOR.
RandomGraphComponentGenerator creating RECREATOR.
OperationOrderGenerator creating RECREATOR.
Starting test.
2018-04-24 02:34:52:112 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2018-04-24 02:35:02:094 10 sec: 10 operations; 1 current ops/sec; est completion in 2 hours 46 minutes [THREAD_COUNT: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=1, Max=1816575, Min=1815552, Avg=1816064, 90=1816575, 99=1816575, 99.9=1816575, 99.99=1816575] [GCS: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [USED_MEM_MB: Count=1, Max=36, Min=36, Avg=36, 90=36, 99=36, 99.9=36, 99.99=36] [INSERTNode: Count=11, Max=634367, Min=200704, Avg=362629.82, 90=436735, 99=634367, 99.9=634367, 99.99=634367] [INSERT: Count=24, Max=634367, Min=67200, Avg=256388, 90=377343, 99=634367, 99.9=634367, 99.99=634367] [GCS_TIME: Count=1, Max=0, Min=0, Avg=0, 90=0, 99=0, 99.9=0, 99.99=0] [INSERTEdge: Count=13, Max=337663, Min=67200, Avg=166491.08, 90=201215, 99=337663, 99.9=337663, 99.99=337663] [Intended-INITIALISE: Count=1, Max=1816575, Min=1815552, Avg=1816064, 90=1816575, 99=1816575, 99.9=1816575, 99.99=1816575] [Intended-INSERTNode: Count=11, Max=634367, Min=200704, Avg=362629.82, 90=436735, 99=634367, 99.9=634367, 99.99=634367] [Intended-INSERT: Count=24, Max=634367, Min=67200, Avg=256388, 90=377343, 99=634367, 99.9=634367, 99.99=634367] [Intended-INSERTEdge: Count=13, Max=337663, Min=67200, Avg=166491.08, 90=201215, 99=337663, 99.9=337663, 99.99=337663] 
2018-04-24 02:35:12:094 20 sec: 23 operations; 1.3 current ops/sec; est completion in 2 hours 24 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=7, Min=7, Avg=7, 90=7, 99=7, 99.9=7, 99.99=7] [USED_MEM_MB: Count=1, Max=129, Min=129, Avg=129, 90=129, 99=129, 99.9=129, 99.99=129] [INSERTNode: Count=13, Max=445183, Min=259456, Avg=348174.77, 90=411135, 99=445183, 99.9=445183, 99.99=445183] [INSERT: Count=31, Max=445183, Min=73344, Avg=240762.84, 90=389887, 99=445183, 99.9=445183, 99.99=445183] [GCS_TIME: Count=1, Max=59, Min=59, Avg=59, 90=59, 99=59, 99.9=59, 99.99=59] [INSERTEdge: Count=18, Max=341503, Min=73344, Avg=163187.56, 90=199167, 99=341503, 99.9=341503, 99.99=341503] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=13, Max=445183, Min=259456, Avg=348174.77, 90=411135, 99=445183, 99.9=445183, 99.99=445183] [Intended-INSERT: Count=31, Max=445183, Min=73344, Avg=240762.84, 90=389887, 99=445183, 99.9=445183, 99.99=445183] [Intended-INSERTEdge: Count=18, Max=341503, Min=73344, Avg=163187.56, 90=199167, 99=341503, 99.9=341503, 99.99=341503] 
2018-04-24 02:35:22:099 30 sec: 38 operations; 1.5 current ops/sec; est completion in 2 hours 11 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=211, Min=211, Avg=211, 90=211, 99=211, 99.9=211, 99.99=211] [INSERTNode: Count=14, Max=493311, Min=261632, Avg=321238.86, 90=376575, 99=493311, 99.9=493311, 99.99=493311] [INSERT: Count=33, Max=493311, Min=69312, Avg=216495.52, 90=334591, 99=493311, 99.9=493311, 99.99=493311] [GCS_TIME: Count=1, Max=7, Min=7, Avg=7, 90=7, 99=7, 99.9=7, 99.99=7] [INSERTEdge: Count=19, Max=190719, Min=69312, Avg=139316.21, 90=169727, 99=190719, 99.9=190719, 99.99=190719] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=14, Max=493311, Min=261632, Avg=321238.86, 90=376575, 99=493311, 99.9=493311, 99.99=493311] [Intended-INSERT: Count=33, Max=493311, Min=69312, Avg=216495.52, 90=334591, 99=493311, 99.9=493311, 99.99=493311] [Intended-INSERTEdge: Count=19, Max=190719, Min=69312, Avg=139316.21, 90=169727, 99=190719, 99.9=190719, 99.99=190719] 
2018-04-24 02:35:32:094 40 sec: 53 operations; 1.5 current ops/sec; est completion in 2 hours 5 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [USED_MEM_MB: Count=1, Max=26, Min=26, Avg=26, 90=26, 99=26, 99.9=26, 99.99=26] [INSERTNode: Count=15, Max=473855, Min=178944, Avg=332091.73, 90=469759, 99=473855, 99.9=473855, 99.99=473855] [INSERT: Count=36, Max=473855, Min=99968, Avg=225840.89, 90=427263, 99=473855, 99.9=473855, 99.99=473855] [GCS_TIME: Count=1, Max=12, Min=12, Avg=12, 90=12, 99=12, 99.9=12, 99.99=12] [INSERTEdge: Count=21, Max=230527, Min=99968, Avg=149947.43, 90=193023, 99=230527, 99.9=230527, 99.99=230527] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=15, Max=473855, Min=178944, Avg=332091.73, 90=469759, 99=473855, 99.9=473855, 99.99=473855] [Intended-INSERT: Count=36, Max=473855, Min=99968, Avg=225840.89, 90=427263, 99=473855, 99.9=473855, 99.99=473855] [Intended-INSERTEdge: Count=21, Max=230527, Min=99968, Avg=149947.43, 90=193023, 99=230527, 99.9=230527, 99.99=230527] 
2018-04-24 02:35:42:094 50 sec: 67 operations; 1.4 current ops/sec; est completion in 2 hours 3 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [USED_MEM_MB: Count=1, Max=215, Min=215, Avg=215, 90=215, 99=215, 99.9=215, 99.99=215] [INSERTNode: Count=14, Max=428287, Min=141696, Avg=305888, 90=393215, 99=428287, 99.9=428287, 99.99=428287] [INSERT: Count=32, Max=428287, Min=101568, Avg=214304, 90=351487, 99=428287, 99.9=428287, 99.99=428287] [GCS_TIME: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] [INSERTEdge: Count=18, Max=177919, Min=101568, Avg=143072, 90=170239, 99=177919, 99.9=177919, 99.99=177919] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=14, Max=428287, Min=141696, Avg=305888, 90=393215, 99=428287, 99.9=428287, 99.99=428287] [Intended-INSERT: Count=32, Max=428287, Min=101568, Avg=214304, 90=351487, 99=428287, 99.9=428287, 99.99=428287] [Intended-INSERTEdge: Count=18, Max=177919, Min=101568, Avg=143072, 90=170239, 99=177919, 99.9=177919, 99.99=177919] 
2018-04-24 02:35:52:094 60 sec: 81 operations; 1.4 current ops/sec; est completion in 2 hours 2 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=224, Min=224, Avg=224, 90=224, 99=224, 99.9=224, 99.99=224] [INSERTNode: Count=15, Max=491775, Min=220032, Avg=348313.6, 90=434943, 99=491775, 99.9=491775, 99.99=491775] [INSERT: Count=33, Max=491775, Min=100096, Avg=237978.18, 90=402431, 99=491775, 99.9=491775, 99.99=491775] [GCS_TIME: Count=1, Max=8, Min=8, Avg=8, 90=8, 99=8, 99.9=8, 99.99=8] [INSERTEdge: Count=18, Max=193663, Min=100096, Avg=146032, 90=188543, 99=193663, 99.9=193663, 99.99=193663] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=15, Max=491775, Min=220032, Avg=348313.6, 90=434943, 99=491775, 99.9=491775, 99.99=491775] [Intended-INSERT: Count=33, Max=491775, Min=100096, Avg=237978.18, 90=402431, 99=491775, 99.9=491775, 99.99=491775] [Intended-INSERTEdge: Count=18, Max=193663, Min=100096, Avg=146032, 90=188543, 99=193663, 99.9=193663, 99.99=193663] 
2018-04-24 02:36:02:094 70 sec: 97 operations; 1.6 current ops/sec; est completion in 1 hour 59 minutes [THREAD_COUNT: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=231, Min=231, Avg=231, 90=231, 99=231, 99.9=231, 99.99=231] [INSERTNode: Count=15, Max=515839, Min=155136, Avg=298653.87, 90=465151, 99=515839, 99.9=515839, 99.99=515839] [INSERT: Count=37, Max=515839, Min=99264, Avg=217703.78, 90=335359, 99=515839, 99.9=515839, 99.99=515839] [GCS_TIME: Count=1, Max=8, Min=8, Avg=8, 90=8, 99=8, 99.9=8, 99.99=8] [INSERTEdge: Count=22, Max=210047, Min=99264, Avg=162510.55, 90=192511, 99=210047, 99.9=210047, 99.99=210047] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=15, Max=515839, Min=155136, Avg=298653.87, 90=465151, 99=515839, 99.9=515839, 99.99=515839] [Intended-INSERT: Count=37, Max=515839, Min=99264, Avg=217703.78, 90=335359, 99=515839, 99.9=515839, 99.99=515839] [Intended-INSERTEdge: Count=22, Max=210047, Min=99264, Avg=162510.55, 90=192511, 99=210047, 99.9=210047, 99.99=210047] 
2018-04-24 02:36:12:094 80 sec: 111 operations; 1.4 current ops/sec; est completion in 1 hour 58 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [USED_MEM_MB: Count=1, Max=125, Min=125, Avg=125, 90=125, 99=125, 99.9=125, 99.99=125] [INSERTNode: Count=14, Max=475135, Min=209536, Avg=333252.57, 90=428799, 99=475135, 99.9=475135, 99.99=475135] [INSERT: Count=32, Max=475135, Min=111808, Avg=226616, 90=380927, 99=475135, 99.9=475135, 99.99=475135] [GCS_TIME: Count=1, Max=13, Min=13, Avg=13, 90=13, 99=13, 99.9=13, 99.99=13] [INSERTEdge: Count=18, Max=180607, Min=111808, Avg=143676.44, 90=173439, 99=180607, 99.9=180607, 99.99=180607] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=14, Max=475135, Min=209536, Avg=333252.57, 90=428799, 99=475135, 99.9=475135, 99.99=475135] [Intended-INSERT: Count=32, Max=475135, Min=111808, Avg=226616, 90=380927, 99=475135, 99.9=475135, 99.99=475135] [Intended-INSERTEdge: Count=18, Max=180607, Min=111808, Avg=143676.44, 90=173439, 99=180607, 99.9=180607, 99.99=180607] 
2018-04-24 02:36:22:094 90 sec: 124 operations; 1.3 current ops/sec; est completion in 1 hour 59 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] [USED_MEM_MB: Count=1, Max=220, Min=220, Avg=220, 90=220, 99=220, 99.9=220, 99.99=220] [INSERTNode: Count=14, Max=421375, Min=256384, Avg=324466.29, 90=380671, 99=421375, 99.9=421375, 99.99=421375] [INSERT: Count=31, Max=482303, Min=97216, Avg=237176.77, 90=353535, 99=482303, 99.9=482303, 99.99=482303] [GCS_TIME: Count=1, Max=8, Min=8, Avg=8, 90=8, 99=8, 99.9=8, 99.99=8] [INSERTEdge: Count=17, Max=482303, Min=97216, Avg=165291.29, 90=179071, 99=482303, 99.9=482303, 99.99=482303] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=14, Max=421375, Min=256384, Avg=324466.29, 90=380671, 99=421375, 99.9=421375, 99.99=421375] [Intended-INSERT: Count=31, Max=482303, Min=97216, Avg=237176.77, 90=353535, 99=482303, 99.9=482303, 99.99=482303] [Intended-INSERTEdge: Count=17, Max=482303, Min=97216, Avg=165291.29, 90=179071, 99=482303, 99.9=482303, 99.99=482303] 
2018-04-24 02:36:32:094 100 sec: 138 operations; 1.4 current ops/sec; est completion in 1 hour 59 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [USED_MEM_MB: Count=1, Max=138, Min=138, Avg=138, 90=138, 99=138, 99.9=138, 99.99=138] [INSERTNode: Count=13, Max=403967, Min=149632, Avg=301006.77, 90=385535, 99=403967, 99.9=403967, 99.99=403967] [INSERT: Count=33, Max=403967, Min=91328, Avg=213473.94, 90=365823, 99=403967, 99.9=403967, 99.99=403967] [GCS_TIME: Count=1, Max=9, Min=9, Avg=9, 90=9, 99=9, 99.9=9, 99.99=9] [INSERTEdge: Count=20, Max=297215, Min=91328, Avg=156577.6, 90=194303, 99=297215, 99.9=297215, 99.99=297215] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=13, Max=403967, Min=149632, Avg=301006.77, 90=385535, 99=403967, 99.9=403967, 99.99=403967] [Intended-INSERT: Count=33, Max=403967, Min=91328, Avg=213473.94, 90=365823, 99=403967, 99.9=403967, 99.99=403967] [Intended-INSERTEdge: Count=20, Max=297215, Min=91328, Avg=156577.6, 90=194303, 99=297215, 99.9=297215, 99.99=297215] 
2018-04-24 02:36:42:094 110 sec: 153 operations; 1.5 current ops/sec; est completion in 1 hour 58 minutes [THREAD_COUNT: Count=1, Max=10, Min=10, Avg=10, 90=10, 99=10, 99.9=10, 99.99=10] [SYS_LOAD_AVG: Count=1, Max=1, Min=1, Avg=1, 90=1, 99=1, 99.9=1, 99.99=1] [INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [GCS: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [USED_MEM_MB: Count=1, Max=117, Min=117, Avg=117, 90=117, 99=117, 99.9=117, 99.99=117] [INSERTNode: Count=16, Max=481535, Min=153728, Avg=311168, 90=435199, 99=481535, 99.9=481535, 99.99=481535] [INSERT: Count=35, Max=481535, Min=83776, Avg=219530.06, 90=394751, 99=481535, 99.9=481535, 99.99=481535] [GCS_TIME: Count=1, Max=11, Min=11, Avg=11, 90=11, 99=11, 99.9=11, 99.99=11] [INSERTEdge: Count=19, Max=212735, Min=83776, Avg=142361.26, 90=169471, 99=212735, 99.9=212735, 99.99=212735] [Intended-INITIALISE: Count=0, Max=0, Min=9223372036854775807, Avg=�, 90=0, 99=0, 99.9=0, 99.99=0] [Intended-INSERTNode: Count=16, Max=481535, Min=153728, Avg=311168, 90=435199, 99=481535, 99.9=481535, 99.99=481535] [Intended-INSERT: Count=35, Max=481535, Min=83776, Avg=219530.06, 90=394751, 99=481535, 99.9=481535, 99.99=481535] [Intended-INSERTEdge: Count=19, Max=212735, Min=83776, Avg=142361.26, 90=169471, 99=212735, 99.9=212735, 99.99=212735] 
